Date,High,Low,Close,DayNumber,Month_Number,DayMonth
2014-05-06,2205.75,2165.0,2172.75,1,500,6
2014-05-07,2152.25,2146.0,2149.0,2,500,7
2014-05-08,2150.0,2130.0,2141.75,3,500,8
2014-05-09,2133.5,2107.25,2107.25,4,500,9
2014-05-12,2088.25,2086.0,2088.25,0,500,12
2014-05-13,2085.25,2085.25,2085.25,1,500,13
2014-05-14,2145.5,2110.0,2110.0,2,500,14
2014-05-15,2142.75,2115.5,2115.5,3,500,15
2014-05-16,2106.25,2106.25,2106.25,4,500,16
2014-05-19,2113.75,2113.75,2113.75,0,500,19
2014-05-20,2106.75,2106.75,2106.75,1,500,20
2014-05-21,2106.75,2106.75,2106.75,2,500,21
2014-05-22,2136.0,2123.0,2136.0,3,500,22
2014-05-23,2154.75,2150.0,2150.0,4,500,23
2014-05-27,2159.25,2158.0,2159.25,1,500,27
2014-05-28,2178.5,2174.25,2174.25,2,500,28
2014-05-29,2179.25,2179.25,2179.25,3,500,29
2014-05-30,2177.25,2177.25,2177.25,4,500,30
2014-06-02,2186.0,2186.0,2186.0,0,600,2
2014-06-03,2204.0,2198.0,2198.0,1,600,3
2014-06-04,2189.75,2189.75,2189.75,2,600,4
2014-06-05,2201.0,2201.0,2201.0,3,600,5
2014-06-06,2222.25,2222.25,2222.25,4,600,6
2014-06-09,2261.75,2257.0,2257.0,0,600,9
2014-06-10,2250.75,2250.75,2250.75,1,600,10
2014-06-11,2224.5,2222.25,2222.25,2,600,11
2014-06-12,2183.0,2183.0,2183.0,3,600,12
2014-06-13,2190.25,2190.25,2190.25,4,600,13
2014-06-16,2206.75,2192.5,2206.75,0,600,16
2014-06-17,2196.25,2190.75,2195.75,1,600,17
2014-06-18,2211.0,2211.0,2211.0,2,600,18
2014-06-19,2225.75,2225.75,2225.75,3,600,19
2014-06-20,2221.5,2221.5,2221.5,4,600,20
2014-06-23,2238.25,2231.25,2231.25,0,600,23
2014-06-24,2247.5,2247.5,2247.5,1,600,24
2014-06-25,2245.75,2235.75,2245.75,2,600,25
2014-06-26,2241.75,2241.75,2241.75,3,600,26
2014-06-27,2233.25,2233.25,2233.25,4,600,27
2014-06-30,2242.25,2242.25,2242.25,0,600,30
2014-07-01,2234.25,2234.25,2234.25,1,700,1
2014-07-02,2268.5,2268.5,2268.5,2,700,2
2014-07-03,2281.25,2281.25,2281.25,3,700,3
2014-07-07,2267.5,2267.5,2267.5,0,700,7
2014-07-08,2280.75,2280.25,2280.75,1,700,8
2014-07-09,2278.5,2278.5,2278.5,2,700,9
2014-07-10,2272.75,2249.75,2272.75,3,700,10
2014-07-11,2290.25,2290.25,2290.25,4,700,11
2014-07-14,2291.5,2291.5,2291.5,0,700,14
2014-07-15,2293.75,2293.75,2293.75,1,700,15
2014-07-16,2311.5,2311.5,2311.5,2,700,16
2014-07-17,2325.5,2325.5,2325.5,3,700,17
2014-07-18,2326.25,2311.0,2326.25,4,700,18
2014-07-21,2364.0,2364.0,2364.0,0,700,21
2014-07-22,2384.5,2384.5,2384.5,1,700,22
2014-07-23,2377.5,2358.0,2360.0,2,700,23
2014-07-24,2399.25,2392.5,2392.5,3,700,24
2014-07-25,2371.25,2371.25,2371.25,4,700,25
2014-07-28,2378.0,2378.0,2378.0,0,700,28
2014-07-29,2339.0,2339.0,2339.0,1,700,29
2014-07-30,2373.0,2373.0,2373.0,2,700,30
2014-07-31,2351.0,2351.0,2351.0,3,700,31
2014-08-01,2335.0,2335.0,2335.0,4,800,1
2014-08-04,2375.0,2375.0,2375.0,0,800,4
2014-08-05,2359.0,2359.0,2359.0,1,800,5
2014-08-06,2375.0,2363.75,2374.5,2,800,6
2014-08-07,2372.5,2372.5,2372.5,3,800,7
2014-08-08,2372.5,2372.5,2372.5,4,800,8
2014-08-11,2385.0,2372.25,2385.0,0,800,11
2014-08-12,2385.5,2379.5,2385.5,1,800,12
2014-08-13,2376.5,2361.0,2361.0,2,800,13
2014-08-14,2337.5,2325.25,2325.25,3,800,14
2014-08-15,2321.5,2314.5,2321.5,4,800,15
2014-08-18,2340.0,2313.0,2340.0,0,800,18
2014-08-19,2362.75,2352.5,2362.75,1,800,19
2014-08-20,2400.25,2400.25,2400.25,2,800,20
2014-08-21,2386.25,2386.25,2386.25,3,800,21
2014-08-22,2401.25,2394.5,2401.25,4,800,22
2014-08-25,2401.25,2401.25,2401.25,0,800,25
2014-08-26,2454.25,2433.75,2443.5,1,800,26
2014-08-27,2441.25,2430.0,2441.25,2,800,27
2014-08-28,2441.75,2441.75,2441.75,3,800,28
2014-08-29,2462.25,2462.25,2462.25,4,800,29
2014-09-02,2472.0,2472.0,2472.0,1,900,2
2014-09-03,2452.75,2452.75,2452.75,2,900,3
2014-09-04,2478.25,2478.25,2478.25,3,900,4
2014-09-05,2463.75,2463.75,2463.75,4,900,5
2014-09-08,2466.75,2466.75,2466.75,0,900,8
2014-09-09,2438.0,2438.0,2438.0,1,900,9
2014-09-10,2423.5,2423.5,2423.5,2,900,10
2014-09-11,2411.5,2411.5,2411.5,3,900,11
2014-09-12,2405.5,2399.0,2399.0,4,900,12
2014-09-15,2366.25,2358.0,2358.0,0,900,15
2014-09-16,2386.25,2349.5,2386.25,1,900,16
2014-09-17,2364.0,2355.5,2355.5,2,900,17
2014-09-18,2348.25,2340.5,2340.5,3,900,18
2014-09-19,2335.75,2335.75,2335.75,4,900,19
2014-09-22,2334.75,2318.0,2334.0,0,900,22
2014-09-23,2327.0,2322.5,2327.0,1,900,23
