Date,High,Low,Close,DayNumber
2001-01-02,785.0,766.0,778.0,1
2001-01-03,785.0,752.0,753.0,2
2001-01-04,777.0,759.0,768.0,3
2001-01-05,817.0,786.0,813.0,4
2001-01-08,824.0,806.0,813.0,0
2001-01-09,819.0,796.0,798.0,1
2001-01-10,812.0,802.0,809.0,2
2001-01-11,850.0,821.0,849.0,3
2001-01-12,870.0,838.0,860.0,4
2001-01-16,914.0,872.0,911.0,1
2001-01-17,993.0,903.0,990.0,2
2001-01-18,1055.0,970.0,996.0,3
2001-01-19,975.0,935.0,957.0,4
2001-01-22,1020.0,943.0,1005.0,0
2001-01-23,1029.0,965.0,1000.0,1
2001-01-24,1008.0,976.0,989.0,2
2001-01-25,1035.0,995.0,1004.0,3
2001-01-26,1066.0,1011.0,1056.0,4
2001-01-29,1079.0,1037.0,1045.0,0
2001-01-30,1061.0,1019.0,1056.0,1
2001-01-31,1040.0,1017.0,1020.0,2
2001-02-01,1053.0,1011.0,1051.0,3
2001-02-02,1064.0,1026.0,1048.0,4
2001-02-05,1070.0,1035.0,1065.0,0
2001-02-06,1088.0,1067.0,1086.0,1
2001-02-07,1083.0,1038.0,1044.0,2
2001-02-08,1038.0,1003.0,1005.0,3
2001-02-09,1034.0,1002.0,1012.0,4
2001-02-12,1060.0,1022.0,1037.0,0
2001-02-13,1075.0,1043.0,1073.0,1
2001-02-14,1077.0,1055.0,1070.0,2
2001-02-15,1068.0,1047.0,1065.0,3
2001-02-16,1139.0,1090.0,1137.0,4
2001-02-20,1162.0,1135.0,1140.0,1
2001-02-21,1195.0,1118.0,1189.0,2
2001-02-22,1202.0,1147.0,1149.0,3
2001-02-23,1165.0,1140.0,1160.0,4
2001-02-26,1145.0,1115.0,1120.0,0
2001-02-27,1140.0,1112.0,1130.0,1
2001-02-28,1157.0,1131.0,1131.0,2
2001-03-01,1152.0,1110.0,1116.0,3
2001-03-02,1172.0,1125.0,1164.0,4
2001-03-05,1150.0,1130.0,1131.0,0
2001-03-06,1112.0,1039.0,1043.0,1
2001-03-07,1067.0,1032.0,1064.0,2
2001-03-08,1079.0,1055.0,1055.0,3
2001-03-09,1080.0,1053.0,1070.0,4
2001-03-12,1069.0,1055.0,1055.0,0
2001-03-13,1050.0,1036.0,1047.0,1
2001-03-14,1070.0,1033.0,1036.0,2
2001-03-15,1040.0,998.0,998.0,3
2001-03-16,1035.0,997.0,1028.0,4
2001-03-19,1020.0,999.0,1005.0,0
2001-03-20,1000.0,983.0,986.0,1
2001-03-21,975.0,949.0,957.0,2
2001-03-22,1030.0,960.0,1024.0,3
2001-03-23,1042.0,1010.0,1036.0,4
2001-03-26,1080.0,1045.0,1063.0,0
2001-03-27,1070.0,1025.0,1038.0,1
2001-03-28,1060.0,1034.0,1047.0,2
2001-03-29,1076.0,1051.0,1064.0,3
2001-03-30,1085.0,1066.0,1073.0,4
2001-04-02,1088.0,1018.0,1030.0,0
2001-04-03,1039.0,995.0,1015.0,1
2001-04-04,1015.0,993.0,1000.0,2
2001-04-05,1013.0,993.0,998.0,3
2001-04-06,1017.0,995.0,1011.0,4
2001-04-09,1010.0,980.0,981.0,0
2001-04-10,990.0,954.0,968.0,1
2001-04-11,1008.0,954.0,1004.0,2
2001-04-12,1008.0,982.0,993.0,3
2001-04-16,993.0,962.0,970.0,0
2001-04-17,995.0,945.0,989.0,1
2001-04-18,995.0,960.0,990.0,2
2001-04-19,1003.0,970.0,995.0,3
2001-04-20,1021.0,1000.0,1010.0,4
2001-04-23,1030.0,993.0,1028.0,0
2001-04-24,1028.0,1008.0,1017.0,1
2001-04-25,1043.0,1015.0,1043.0,2
2001-04-26,1052.0,1042.0,1052.0,3
2001-04-27,1058.0,1025.0,1025.0,4
2001-04-30,1020.0,1000.0,1010.0,0
2001-05-01,1008.0,999.0,999.0,1
2001-05-02,996.0,990.0,992.0,2
2001-05-03,1020.0,999.0,1020.0,3
2001-05-04,1014.0,1000.0,1014.0,4
2001-05-07,1040.0,1034.0,1034.0,0
2001-05-08,1089.0,1077.0,1089.0,1
2001-05-09,1076.0,1066.0,1066.0,2
2001-05-10,1096.0,1080.0,1096.0,3
2001-05-11,1098.0,1064.0,1064.0,4
2001-05-14,1080.0,1071.0,1074.0,0
2001-05-15,1101.0,1041.0,1041.0,1
2001-05-16,1102.0,1062.0,1092.0,2
2001-05-17,1093.0,1065.0,1067.0,3
2001-05-18,1109.0,1063.0,1103.0,4
2001-05-21,1103.0,1075.0,1079.0,0
2001-05-22,1073.0,1057.0,1068.0,1
2001-05-23,1093.0,1066.0,1081.0,2
2001-05-24,1076.0,1057.0,1060.0,3
2001-05-25,1045.0,1020.0,1031.0,4
2001-05-29,1035.0,1002.0,1003.0,1
2001-05-30,1009.0,959.0,964.0,2
2001-05-31,977.0,930.0,936.0,3
2001-06-01,948.0,925.0,943.0,4
2001-06-04,943.0,914.0,930.0,0
2001-06-05,962.0,923.0,952.0,1
2001-06-06,960.0,938.0,945.0,2
2001-06-07,955.0,902.0,904.0,3
2001-06-08,949.0,897.0,937.0,4
2001-06-11,945.0,924.0,930.0,0
2001-06-12,934.0,906.0,909.0,1
2001-06-13,938.0,910.0,926.0,2
2001-06-14,935.0,907.0,926.0,3
2001-06-15,942.0,915.0,915.0,4
2001-06-18,952.0,928.0,937.0,0
2001-06-19,936.0,915.0,925.0,1
2001-06-20,920.0,892.0,895.0,2
2001-06-21,929.0,880.0,927.0,3
2001-06-22,943.0,909.0,910.0,4
2001-06-25,922.0,893.0,917.0,0
2001-06-26,941.0,924.0,935.0,1
2001-06-27,950.0,935.0,946.0,2
2001-06-28,971.0,946.0,957.0,3
2001-06-29,974.0,953.0,974.0,4
2001-07-02,1000.0,970.0,974.0,0
2001-07-03,965.0,961.0,961.0,1
2001-07-05,973.0,955.0,973.0,3
2001-07-06,970.0,970.0,970.0,4
2001-07-09,940.0,928.0,937.0,0
2001-07-10,880.0,854.0,878.0,1
2001-07-11,911.0,902.0,902.0,2
2001-07-12,916.0,881.0,881.0,3
2001-07-13,905.0,902.0,902.0,4
2001-07-16,925.0,887.0,887.0,0
2001-07-17,925.0,895.0,898.0,1
2001-07-18,909.0,889.0,905.0,2
2001-07-19,957.0,912.0,951.0,3
2001-07-20,974.0,936.0,956.0,4
2001-07-23,945.0,925.0,943.0,0
2001-07-24,944.0,931.0,940.0,1
2001-07-25,954.0,935.0,943.0,2
2001-07-26,949.0,936.0,940.0,3
2001-07-27,938.0,915.0,920.0,4
2001-07-30,936.0,909.0,934.0,0
2001-07-31,962.0,934.0,957.0,1
