Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year
2001-01-02,0.8454999923706055,0.8180000185966492,0.8180000185966492,1,100,2,2001
2001-01-03,0.8234999775886536,0.8075000047683716,0.8234999775886536,2,100,3,2001
2001-01-04,0.8259999752044678,0.8149999976158142,0.8149999976158142,3,100,4,2001
2001-01-05,0.8330000042915344,0.8149999976158142,0.8320000171661377,4,100,5,2001
2001-01-08,0.8389999866485596,0.8320000171661377,0.8330000042915344,0,100,8,2001
2001-01-09,0.8410000205039978,0.8295000195503235,0.8299999833106995,1,100,9,2001
2001-01-10,0.8339999914169312,0.8299999833106995,0.8309999704360962,2,100,10,2001
2001-01-11,0.8389999866485596,0.8299999833106995,0.8324999809265137,3,100,11,2001
2001-01-12,0.8450000286102295,0.8324999809265137,0.8445000052452087,4,100,12,2001
2001-01-16,0.8349999785423279,0.8190000057220459,0.8249999880790709,1,100,16,2001
2001-01-17,0.8320000171661377,0.8240000009536743,0.8314999938011169,2,100,17,2001
2001-01-18,0.8669999837875366,0.8379999995231628,0.8669999837875366,3,100,18,2001
2001-01-19,0.8600000143051147,0.8525000214576721,0.8529999852180481,4,100,19,2001
2001-01-22,0.8569999933242798,0.8495000004768372,0.8495000004768372,0,100,22,2001
2001-01-23,0.859000027179718,0.8504999876022339,0.8510000109672546,1,100,23,2001
2001-01-24,0.8500000238418579,0.8349999785423279,0.8399999737739563,2,100,24,2001
2001-01-25,0.8399999737739563,0.8370000123977661,0.8389999866485596,3,100,25,2001
2001-01-26,0.8399999737739563,0.8349999785423279,0.8389999866485596,4,100,26,2001
2001-01-29,0.8374999761581421,0.8309999704360962,0.8335000276565552,0,100,29,2001
2001-01-30,0.843999981880188,0.8280000090599059,0.840499997138977,1,100,30,2001
2001-01-31,0.8500000238418579,0.843999981880188,0.8485000133514404,2,100,31,2001
2001-02-01,0.8510000109672546,0.8500000238418579,0.8500000238418579,3,200,1,2001
2001-02-02,0.843999981880188,0.8399999737739563,0.843999981880188,4,200,2,2001
2001-02-05,0.8395000100135803,0.8289999961853027,0.8295000195503235,0,200,5,2001
2001-02-06,0.8314999938011169,0.828499972820282,0.8309999704360962,1,200,6,2001
2001-02-07,0.8320000171661377,0.8289999961853027,0.8295000195503235,2,200,7,2001
2001-02-08,0.8335000276565552,0.8289999961853027,0.8295000195503235,3,200,8,2001
2001-02-09,0.8299999833106995,0.8174999952316284,0.8199999928474426,4,200,9,2001
2001-02-12,0.8195000290870667,0.8169999718666077,0.8174999952316284,0,200,12,2001
2001-02-13,0.8309999704360962,0.8169999718666077,0.8245000243186951,1,200,13,2001
2001-02-14,0.8224999904632568,0.8199999928474426,0.8215000033378601,2,200,14,2001
2001-02-15,0.8309999704360962,0.8264999985694885,0.8270000219345093,3,200,15,2001
2001-02-16,0.8270000219345093,0.8245000243186951,0.8249999880790709,4,200,16,2001
2001-02-20,0.8199999928474426,0.8190000057220459,0.8190000057220459,1,200,20,2001
2001-02-21,0.8009999990463257,0.8004999756813049,0.8009999990463257,2,200,21,2001
2001-02-22,0.8029999732971191,0.8009999990463257,0.8009999990463257,3,200,22,2001
2001-02-23,0.8025000095367432,0.7954999804496765,0.7954999804496765,4,200,23,2001
2001-02-26,0.8065000176429749,0.7979999780654907,0.8040000200271606,0,200,26,2001
2001-02-27,0.8050000071525574,0.7960000038146973,0.8009999990463257,1,200,27,2001
2001-02-28,0.8125,0.7990000247955322,0.8100000023841858,2,200,28,2001
2001-03-01,0.8249999880790709,0.8090000152587891,0.8209999799728394,3,300,1,2001
2001-03-02,0.8245000243186951,0.8199999928474426,0.8245000243186951,4,300,2,2001
2001-03-05,0.8399999737739563,0.8209999799728394,0.8335000276565552,0,300,5,2001
2001-03-06,0.8495000004768372,0.8314999938011169,0.843999981880188,1,300,6,2001
2001-03-07,0.8429999947547913,0.8339999914169312,0.8339999914169312,2,300,7,2001
2001-03-08,0.8314999938011169,0.8209999799728394,0.8209999799728394,3,300,8,2001
2001-03-09,0.828499972820282,0.8245000243186951,0.8259999752044678,4,300,9,2001
