Date,High,Low,Close,DayNumber,Month_Number,DayMonth
2001-01-02,65.40000152587889,62.9000015258789,63.4000015258789,1,100,2
2001-01-03,64.0,62.599998474121094,63.45000076293945,2,100,3
2001-01-04,63.9000015258789,63.0,63.349998474121094,3,100,4
2001-01-05,64.59999847412111,62.5,64.34999847412111,4,100,5
2001-01-08,68.0,63.0,63.849998474121094,0,100,8
2001-01-09,63.9000015258789,62.0,63.79999923706055,1,100,9
2001-01-10,64.0,62.849998474121094,63.349998474121094,2,100,10
2001-01-11,64.80000305175781,63.349998474121094,63.599998474121094,3,100,11
2001-01-12,65.5,63.20000076293945,65.0,4,100,12
2001-01-16,67.5,64.59999847412111,67.40000152587889,1,100,16
2001-01-17,71.25,66.59999847412111,70.19999694824219,2,100,17
2001-01-18,70.15000152587889,65.75,66.75,3,100,18
2001-01-19,68.69999694824219,67.0,68.30000305175781,4,100,19
2001-01-22,71.75,68.5,71.25,0,100,22
2001-01-23,72.5,68.75,69.84999847412111,1,100,23
2001-01-24,71.19999694824219,69.09999847412111,70.05000305175781,2,100,24
2001-01-25,69.25,65.90000152587889,67.84999847412111,3,100,25
2001-01-26,68.5,66.94999694824219,67.09999847412111,4,100,26
2001-01-29,66.5,65.25,65.40000152587889,0,100,29
2001-01-30,64.75,63.0,64.19999694824219,1,100,30
2001-01-31,64.84999847412111,63.25,63.75,2,100,31
2001-02-01,65.0,63.5,64.69999694824219,3,200,1
2001-02-02,65.0,62.9000015258789,63.20000076293945,4,200,2
2001-02-05,63.4000015258789,62.25,62.70000076293945,0,200,5
2001-02-06,63.099998474121094,62.0,62.20000076293945,1,200,6
2001-02-07,62.79999923706055,61.29999923706055,61.75,2,200,7
2001-02-08,62.4000015258789,61.4000015258789,62.0,3,200,8
2001-02-09,63.20000076293945,62.099998474121094,62.6500015258789,4,200,9
2001-02-12,62.6500015258789,61.849998474121094,62.29999923706055,0,200,12
2001-02-13,63.9000015258789,62.25,62.79999923706055,1,200,13
2001-02-14,64.0,62.25,62.79999923706055,2,200,14
2001-02-15,63.099998474121094,61.25,61.5,3,200,15
2001-02-16,61.099998474121094,59.29999923706055,59.79999923706055,4,200,16
2001-02-20,63.0,59.25,62.75,1,200,20
2001-02-21,63.5,62.5,63.1500015258789,2,200,21
2001-02-22,64.80000305175781,62.75,62.849998474121094,3,200,22
2001-02-23,65.0,63.0,64.94999694824219,4,200,23
2001-02-26,65.5,62.9000015258789,63.9000015258789,0,200,26
2001-02-27,64.75,64.09999847412111,64.40000152587889,1,200,27
2001-02-28,65.0,63.5,63.9000015258789,2,200,28
2001-03-01,64.25,62.4000015258789,62.75,3,300,1
2001-03-02,63.79999923706055,63.29999923706055,63.29999923706055,4,300,2
2001-03-05,63.70000076293945,63.20000076293945,63.70000076293945,0,300,5
2001-03-06,65.75,64.0,65.0,1,300,6
2001-03-07,66.80000305175781,65.25,65.80000305175781,2,300,7
2001-03-08,66.40000152587889,64.15000152587889,64.15000152587889,3,300,8
2001-03-09,63.0,61.099998474121094,61.70000076293945,4,300,9
2001-03-12,62.04999923706055,61.349998474121094,62.04999923706055,0,300,12
2001-03-13,62.75,60.849998474121094,60.95000076293945,1,300,13
2001-03-14,61.0,60.45000076293945,61.0,2,300,14
2001-03-15,60.29999923706055,59.099998474121094,59.099998474121094,3,300,15
2001-03-16,59.0,59.0,59.0,4,300,16
2001-03-19,60.25,58.849998474121094,59.9000015258789,0,300,19
2001-03-20,60.04999923706055,60.04999923706055,60.04999923706055,1,300,20
2001-03-21,61.79999923706055,60.9000015258789,61.1500015258789,2,300,21
2001-03-22,61.25,59.4000015258789,60.20000076293945,3,300,22
2001-03-23,60.75,59.849998474121094,60.099998474121094,4,300,23
2001-03-26,63.4000015258789,60.25,61.849998474121094,0,300,26
2001-03-27,61.849998474121094,60.599998474121094,61.04999923706055,1,300,27
2001-03-28,62.5,60.9000015258789,61.1500015258789,2,300,28
2001-03-29,62.0,60.599998474121094,61.75,3,300,29
2001-03-30,62.9000015258789,60.20000076293945,60.29999923706055,4,300,30
2001-04-02,60.5,59.0,59.5,0,400,2
2001-04-03,59.9000015258789,58.599998474121094,58.70000076293945,1,400,3
2001-04-04,59.70000076293945,58.599998474121094,59.25,2,400,4
2001-04-05,59.599998474121094,58.75,59.099998474121094,3,400,5
2001-04-06,59.25,57.70000076293945,58.099998474121094,4,400,6
2001-04-09,58.5,57.5,57.599998474121094,0,400,9
2001-04-10,58.20000076293945,57.099998474121094,57.349998474121094,1,400,10
2001-04-11,58.0,57.1500015258789,57.349998474121094,2,400,11
2001-04-12,58.0,57.29999923706055,57.599998474121094,3,400,12
2001-04-16,58.0,56.5,56.6500015258789,0,400,16
2001-04-17,56.5,56.0,56.20000076293945,1,400,17
2001-04-18,58.9000015258789,56.099998474121094,58.6500015258789,2,400,18
2001-04-19,58.29999923706055,56.75,57.54999923706055,3,400,19
2001-04-20,57.599998474121094,57.0,57.1500015258789,4,400,20
2001-04-23,62.0,56.599998474121094,61.75,0,400,23
2001-04-24,61.75,58.0,58.599998474121094,1,400,24
2001-04-25,58.5,56.9000015258789,57.79999923706055,2,400,25
2001-04-26,58.5,56.6500015258789,58.5,3,400,26
2001-04-27,61.599998474121094,58.5,60.95000076293945,4,400,27
