Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year
2001-01-02,329.0,325.25,325.5,1,100,2,2001
2001-01-03,331.0,324.25,330.25,2,100,3,2001
2001-01-04,332.0,329.25,331.5,3,100,4,2001
2001-01-05,331.75,328.75,331.5,4,100,5,2001
2001-01-08,330.5,327.25,330.25,0,100,8,2001
2001-01-09,333.5,328.5,333.0,1,100,9,2001
2001-01-10,336.5,333.0,336.25,2,100,10,2001
2001-01-11,340.0,334.0,337.5,3,100,11,2001
2001-01-12,338.0,335.0,337.5,4,100,12,2001
2001-01-16,335.5,333.0,333.75,1,100,16,2001
2001-01-17,333.25,330.5,330.5,2,100,17,2001
2001-01-18,334.0,331.75,332.0,3,100,18,2001
2001-01-19,335.0,330.5,332.5,4,100,19,2001
2001-01-22,333.5,329.0,331.75,0,100,22,2001
2001-01-23,334.0,329.5,332.5,1,100,23,2001
2001-01-24,332.5,328.5,332.25,2,100,24,2001
2001-01-25,332.75,328.0,328.0,3,100,25,2001
2001-01-26,327.0,325.0,325.0,4,100,26,2001
2001-01-29,322.0,313.0,315.0,0,100,29,2001
2001-01-30,316.5,314.0,315.0,1,100,30,2001
2001-01-31,318.5,313.0,318.25,2,100,31,2001
2001-02-01,319.5,316.0,316.5,3,200,1,2001
2001-02-02,318.5,315.5,318.5,4,200,2,2001
2001-02-05,318.25,315.0,315.5,0,200,5,2001
2001-02-06,316.5,312.5,313.0,1,200,6,2001
2001-02-07,315.0,312.5,313.25,2,200,7,2001
2001-02-08,316.0,312.0,312.0,3,200,8,2001
2001-02-09,315.0,311.5,312.0,4,200,9,2001
2001-02-12,312.0,307.5,307.75,0,200,12,2001
2001-02-13,309.0,306.25,308.75,1,200,13,2001
2001-02-14,313.5,310.0,311.75,2,200,14,2001
2001-02-15,313.75,309.5,311.75,3,200,15,2001
2001-02-16,312.5,309.5,310.0,4,200,16,2001
2001-02-20,312.5,310.5,311.0,1,200,20,2001
2001-02-21,312.5,308.0,308.5,2,200,21,2001
2001-02-22,311.5,307.75,308.0,3,200,22,2001
2001-02-23,308.75,305.25,307.0,4,200,23,2001
2001-02-26,308.0,304.5,305.5,0,200,26,2001
2001-02-27,306.5,304.5,305.0,1,200,27,2001
2001-02-28,313.0,305.0,311.25,2,200,28,2001
2001-03-01,316.75,313.0,314.0,3,300,1,2001
2001-03-02,317.5,314.25,316.0,4,300,2,2001
2001-03-05,321.0,318.5,320.0,0,300,5,2001
2001-03-06,320.25,318.25,318.25,1,300,6,2001
2001-03-07,317.0,315.5,315.5,2,300,7,2001
2001-03-08,317.25,314.75,316.5,3,300,8,2001
2001-03-09,317.0,315.5,317.0,4,300,9,2001
2001-03-12,323.5,320.5,323.5,0,300,12,2001
2001-03-13,325.5,323.0,323.0,1,300,13,2001
2001-03-14,322.5,321.0,321.0,2,300,14,2001
2001-03-15,314.0,314.0,314.0,3,300,15,2001
2001-03-16,314.0,310.5,310.5,4,300,16,2001
2001-03-19,307.5,306.0,306.0,0,300,19,2001
2001-03-20,306.5,306.5,306.5,1,300,20,2001
2001-03-21,304.0,304.0,304.0,2,300,21,2001
2001-03-22,307.5,303.5,303.75,3,300,22,2001
2001-03-23,307.25,305.0,306.75,4,300,23,2001
2001-03-26,312.0,309.0,311.0,0,300,26,2001
2001-03-27,313.0,310.0,311.75,1,300,27,2001
2001-03-28,311.75,308.5,309.0,2,300,28,2001
2001-03-29,311.0,308.75,309.25,3,300,29,2001
2001-03-30,314.0,301.0,301.25,4,300,30,2001
2001-04-02,306.25,302.5,304.75,0,400,2,2001
2001-04-03,310.0,301.5,309.0,1,400,3,2001
2001-04-04,311.25,307.5,310.5,2,400,4,2001
2001-04-05,312.0,307.0,309.25,3,400,5,2001
2001-04-06,310.5,307.25,309.0,4,400,6,2001
2001-04-09,310.0,305.0,306.25,0,400,9,2001
2001-04-10,307.25,302.25,302.75,1,400,10,2001
2001-04-11,307.5,303.0,307.0,2,400,11,2001
2001-04-12,317.0,309.0,313.25,3,400,12,2001
2001-04-16,321.0,318.0,319.0,0,400,16,2001
2001-04-17,318.5,315.5,316.5,1,400,17,2001
2001-04-18,320.25,314.75,318.75,2,400,18,2001
2001-04-19,318.75,314.5,318.0,3,400,19,2001
2001-04-20,323.0,318.0,319.75,4,400,20,2001
2001-04-23,321.5,313.0,320.0,0,400,23,2001
2001-04-24,321.0,316.25,318.25,1,400,24,2001
2001-04-25,328.0,320.0,326.25,2,400,25,2001
2001-04-26,332.0,327.5,328.5,3,400,26,2001
2001-04-27,328.0,323.0,323.75,4,400,27,2001
2001-04-30,331.5,323.5,331.0,0,400,30,2001
2001-05-01,333.5,328.0,329.5,1,500,1,2001
2001-05-02,328.5,325.0,326.0,2,500,2,2001
2001-05-03,323.0,320.5,322.0,3,500,3,2001
2001-05-04,321.75,319.5,321.75,4,500,4,2001
2001-05-07,322.0,315.0,319.5,0,500,7,2001
2001-05-08,318.0,315.0,318.0,1,500,8,2001
2001-05-09,315.5,314.5,315.0,2,500,9,2001
2001-05-10,321.0,320.0,320.0,3,500,10,2001
2001-05-11,323.0,323.0,323.0,4,500,11,2001
2001-05-14,333.0,331.5,332.5,0,500,14,2001
2001-05-15,329.75,329.75,329.75,1,500,15,2001
2001-05-16,330.0,328.5,328.5,2,500,16,2001
2001-05-17,327.5,327.5,327.5,3,500,17,2001
2001-05-18,326.25,323.25,324.0,4,500,18,2001
2001-05-21,319.5,315.5,315.5,0,500,21,2001
2001-05-22,323.5,316.0,316.75,1,500,22,2001
2001-05-23,319.0,314.5,316.0,2,500,23,2001
2001-05-24,319.75,315.75,316.5,3,500,24,2001
2001-05-25,318.5,314.0,314.0,4,500,25,2001
2001-05-29,319.5,312.0,319.25,1,500,29,2001
2001-05-30,323.25,320.25,320.25,2,500,30,2001
2001-05-31,324.5,320.75,323.5,3,500,31,2001
2001-06-01,330.0,326.5,328.25,4,600,1,2001
2001-06-04,326.5,319.5,319.75,0,600,4,2001
2001-06-05,321.5,313.25,313.75,1,600,5,2001
2001-06-06,315.75,311.0,313.25,2,600,6,2001
2001-06-07,321.0,315.0,316.75,3,600,7,2001
2001-06-08,318.5,316.5,317.5,4,600,8,2001
2001-06-11,320.0,314.5,314.5,0,600,11,2001
2001-06-12,317.0,313.0,316.5,1,600,12,2001
2001-06-13,317.5,314.5,315.5,2,600,13,2001
2001-06-14,314.5,311.5,312.5,3,600,14,2001
2001-06-15,311.25,308.0,308.25,4,600,15,2001
2001-06-18,314.0,306.5,313.0,0,600,18,2001
2001-06-19,313.75,309.5,312.25,1,600,19,2001
2001-06-20,313.25,308.5,308.75,2,600,20,2001
2001-06-21,308.75,305.5,305.5,3,600,21,2001
2001-06-22,305.5,301.5,301.75,4,600,22,2001
2001-06-25,300.75,293.0,293.5,0,600,25,2001
2001-06-26,297.0,293.5,295.25,1,600,26,2001
2001-06-27,298.0,294.5,295.0,2,600,27,2001
2001-06-28,295.5,289.25,289.5,3,600,28,2001
2001-06-29,297.5,289.75,293.0,4,600,29,2001
2001-07-02,295.5,290.0,294.5,0,700,2,2001
2001-07-03,296.75,292.5,295.0,1,700,3,2001
2001-07-05,300.5,295.25,299.0,3,700,5,2001
2001-07-06,300.0,298.5,298.5,4,700,6,2001
2001-07-09,298.0,295.75,295.75,0,700,9,2001
2001-07-10,298.0,297.0,298.0,1,700,10,2001
