Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year
2001-01-02,968.5,964.0,968.5,1,100,2,2001
2001-01-03,995.0,979.0,988.4000244140624,2,100,3,2001
2001-01-04,999.0,982.0,982.0,3,100,4,2001
2001-01-05,986.0,971.0,986.0,4,100,5,2001
2001-01-08,1035.0,998.9000244140624,1025.5999755859377,0,100,8,2001
2001-01-09,1041.0,981.0999755859376,1034.4000244140623,1,100,9,2001
2001-01-10,1082.5,1040.0,1072.800048828125,2,100,10,2001
2001-01-11,1064.0,1022.0,1045.25,3,100,11,2001
2001-01-12,1058.0,1041.0,1050.800048828125,4,100,12,2001
2001-01-16,1070.0,1025.0,1028.3499755859377,1,100,16,2001
2001-01-17,1044.0,995.0,999.2999877929688,2,100,17,2001
2001-01-18,1032.0,1005.0,1030.0,3,100,18,2001
2001-01-19,1070.0,1053.0,1062.5,4,100,19,2001
2001-01-22,1085.0,1075.0,1075.199951171875,0,100,22,2001
2001-01-23,1070.0,1051.0,1060.0,1,100,23,2001
2001-01-24,1061.0,1041.0,1047.5999755859377,2,100,24,2001
2001-01-25,1075.0,1055.0,1075.0,3,100,25,2001
2001-01-26,1090.0,1070.0,1079.0,4,100,26,2001
2001-01-29,1072.0,1051.0,1054.0,0,100,29,2001
2001-01-30,1059.0,1050.0,1058.75,1,100,30,2001
2001-01-31,1058.0,1044.0,1054.800048828125,2,100,31,2001
2001-02-01,1055.0,1040.0,1053.5999755859377,3,200,1,2001
2001-02-02,1060.0,1052.0,1055.1500244140623,4,200,2,2001
2001-02-05,1084.0,1060.0,1082.800048828125,0,200,5,2001
2001-02-06,1080.0,1075.0,1076.5,1,200,6,2001
2001-02-07,1080.5,1070.199951171875,1072.0,2,200,7,2001
2001-02-08,1070.0999755859377,1040.199951171875,1041.9000244140623,3,200,8,2001
2001-02-09,1040.0,1000.0,1010.0,4,200,9,2001
2001-02-12,980.0,965.0,965.0999755859376,0,200,12,2001
2001-02-13,990.0,961.0,983.5499877929688,1,200,13,2001
