Date,High,Low,Close,DayNumber,Month_Number,DayMonth
2001-01-02,611.5,604.0,609.9000244140625,1,100,2
2001-01-03,622.0,611.0,619.4000244140625,2,100,3
2001-01-04,635.0,626.4000244140625,626.9000244140625,3,100,4
2001-01-05,618.0,615.0,620.7000122070312,4,100,5
2001-01-08,630.0,628.9000244140625,634.5,0,100,8
2001-01-09,636.0,633.0,636.0,1,100,9
2001-01-10,639.0,636.0,641.0999755859375,2,100,10
2001-01-11,640.0,632.9000244140625,628.0,3,100,11
2001-01-12,634.0,632.0,635.0999755859375,4,100,12
2001-01-16,637.0,634.0,631.5999755859375,1,100,16
2001-01-17,630.0,625.0,625.5,2,100,17
2001-01-18,620.0,610.0,609.5999755859375,3,100,18
2001-01-19,620.0,620.0,617.7999877929688,4,100,19
2001-01-22,618.0,617.0,621.7999877929688,0,100,22
2001-01-23,617.0,617.0,620.7999877929688,1,100,23
2001-01-24,616.0,607.0,605.5999755859375,2,100,24
2001-01-25,613.0,609.5,616.0,3,100,25
2001-01-26,613.0,613.0,612.0999755859375,4,100,26
2001-01-29,608.0,596.5,598.4000244140625,0,100,29
2001-01-30,603.5,597.2000122070312,601.5999755859375,1,100,30
2001-01-31,601.5,598.0,601.0999755859375,2,100,31
2001-02-01,601.5,597.2000122070312,597.4000244140625,3,200,1
2001-02-02,598.0,594.5,597.0,4,200,2
2001-02-05,604.4000244140625,597.0,603.7000122070312,0,200,5
2001-02-06,607.9000244140625,603.5,606.0,1,200,6
2001-02-07,605.5,602.5,603.0,2,200,7
2001-02-08,601.5,593.0999755859375,593.2999877929688,3,200,8
2001-02-09,596.9000244140625,588.5,593.5,4,200,9
2001-02-12,599.0,589.0,590.0999755859375,0,200,12
2001-02-13,595.0,588.5,593.7000122070312,1,200,13
2001-02-14,595.0,592.0,592.4000244140625,2,200,14
2001-02-15,596.0,590.5,595.0999755859375,3,200,15
2001-02-16,602.0,595.0,600.0999755859375,4,200,16
2001-02-20,606.5,600.0,603.7999877929688,1,200,20
2001-02-21,608.0,600.0,604.0,2,200,21
2001-02-22,602.0,595.0999755859375,598.7000122070312,3,200,22
2001-02-23,600.0,597.0,598.5,4,200,23
2001-02-26,604.7999877929688,600.0,604.2999877929688,0,200,26
2001-02-27,614.0,604.5,612.9000244140625,1,200,27
2001-02-28,614.0,609.0,610.0,2,200,28
2001-03-01,609.0,598.0,598.5999755859375,3,300,1
2001-03-02,596.0,580.0,581.0999755859375,4,300,2
2001-03-05,577.5,569.0,576.9000244140625,0,300,5
2001-03-06,584.5,581.0,582.0,1,300,6
2001-03-07,591.0,583.0,591.0,2,300,7
2001-03-08,599.5,594.5,599.4000244140625,3,300,8
2001-03-09,600.0,592.5,593.2999877929688,4,300,9
2001-03-12,593.0,584.0999755859375,585.0,0,300,12
2001-03-13,584.5,581.5,582.0,1,300,13
2001-03-14,588.5,584.5,584.5999755859375,2,300,14
2001-03-15,585.0,578.0,580.4000244140625,3,300,15
2001-03-16,583.0,579.0,580.4000244140625,4,300,16
2001-03-19,583.0,575.0,577.7000122070312,0,300,19
2001-03-20,578.0,571.0,573.7999877929688,1,300,20
2001-03-21,579.5,571.0,579.0,2,300,21
2001-03-22,579.0,568.2000122070312,569.0999755859375,3,300,22
2001-03-23,569.5,565.0,566.7999877929688,4,300,23
2001-03-26,572.5,566.0,572.0999755859375,0,300,26
2001-03-27,578.0,570.0,576.2000122070312,1,300,27
2001-03-28,575.0,570.0,570.5,2,300,28
2001-03-29,568.0,557.0,558.0,3,300,29
2001-03-30,562.0,554.5,555.0,4,300,30
2001-04-02,555.0,548.0,553.0,0,400,2
2001-04-03,581.0,561.0,574.9000244140625,1,400,3
2001-04-04,589.5,580.0,584.0,2,400,4
2001-04-05,575.0,575.0,577.0,3,400,5
2001-04-06,577.0,575.0,576.0,4,400,6
2001-04-09,585.0,585.0,579.0999755859375,0,400,9
2001-04-10,579.9000244140625,579.9000244140625,579.9000244140625,1,400,10
2001-04-11,595.0999755859375,585.0,593.4000244140625,2,400,11
2001-04-12,595.0,595.0,597.2999877929688,3,400,12
2001-04-16,614.0,600.0,624.9000244140625,0,400,16
2001-04-17,614.0,600.0,624.9000244140625,1,400,17
2001-04-18,627.0,627.0,627.0,2,400,18
2001-04-19,627.5,627.5,627.5,3,400,19
2001-04-20,625.0,622.0,628.4000244140625,4,400,20
2001-04-23,622.2000122070312,622.2000122070312,622.2000122070312,0,400,23
2001-04-24,615.9000244140625,615.9000244140625,615.9000244140625,1,400,24
2001-04-25,610.0,610.0,610.0,2,400,25
2001-04-26,597.0,590.0,593.5999755859375,3,400,26
2001-04-27,595.5,589.0,593.0999755859375,4,400,27
2001-04-30,596.0,589.0,595.0,0,400,30
2001-05-01,602.0,596.0,601.0,1,500,1
2001-05-02,613.5,602.0,613.2999877929688,2,500,2
2001-05-03,639.0,608.0,631.2999877929688,3,500,3
2001-05-04,631.2999877929688,613.0,619.0,4,500,4
2001-05-07,615.0,608.0,611.0,0,500,7
2001-05-08,608.0999755859375,601.5,604.7999877929688,1,500,8
2001-05-09,614.0,604.5,611.7000122070312,2,500,9
2001-05-10,608.0,604.0,607.5,3,500,10
2001-05-11,611.0,606.0,607.7999877929688,4,500,11
2001-05-14,606.5,604.2000122070312,606.5,0,500,14
2001-05-15,613.0,604.2000122070312,610.0,1,500,15
2001-05-16,614.5,610.0,612.0999755859375,2,500,16
2001-05-17,616.0,609.5,615.2000122070312,3,500,17
2001-05-18,619.7999877929688,611.0,617.0,4,500,18
2001-05-21,626.7999877929688,616.2999877929688,620.0,0,500,21
2001-05-22,618.0,614.2000122070312,616.5,1,500,22
2001-05-23,616.0,611.0,614.0999755859375,2,500,23
2001-05-24,621.0,615.0,619.0,3,500,24
2001-05-25,625.0,618.0,622.0,4,500,25
2001-05-29,624.7999877929688,619.0,619.2999877929688,1,500,29
2001-05-30,619.0,612.2000122070312,613.0999755859375,2,500,30
2001-05-31,611.2000122070312,600.5,603.0999755859375,3,500,31
2001-06-01,605.9000244140625,586.0,588.7999877929688,4,600,1
2001-06-04,593.7999877929688,585.0,591.9000244140625,0,600,4
2001-06-05,591.9000244140625,582.0,583.0999755859375,1,600,5
2001-06-06,589.0,581.2000122070312,583.0,2,600,6
2001-06-07,589.7999877929688,586.0,588.2999877929688,3,600,7
2001-06-08,594.0,589.0,593.5999755859375,4,600,8
2001-06-11,588.0,582.5,585.2000122070312,0,600,11
2001-06-12,584.0,578.0,578.7000122070312,1,600,12
2001-06-13,579.0,572.7000122070312,578.9000244140625,2,600,13
2001-06-14,583.0,576.0,580.0,3,600,14
2001-06-15,585.0,579.0,583.2000122070312,4,600,15
2001-06-18,583.0,578.2000122070312,580.4000244140625,0,600,18
2001-06-19,583.0,578.0999755859375,579.7000122070312,1,600,19
2001-06-20,587.0,580.0,584.5,2,600,20
2001-06-21,583.4000244140625,580.0,583.0,3,600,21
2001-06-22,581.0,574.0,574.0,4,600,22
2001-06-25,576.0,568.2000122070312,571.0,0,600,25
2001-06-26,570.5,567.2000122070312,569.5,1,600,26
2001-06-27,573.0,565.0,567.0,2,600,27
2001-06-28,566.0,562.2999877929689,562.7999877929689,3,600,28
2001-06-29,563.0,557.5,560.0999755859375,4,600,29
2001-07-02,564.0,555.0,555.0999755859375,0,700,2
2001-07-03,558.0,556.0,556.9000244140625,1,700,3
2001-07-05,557.4000244140625,555.0,551.0,3,700,5
2001-07-06,551.5,551.0,561.4000244140625,4,700,6
2001-07-09,564.0,564.0,559.5999755859375,0,700,9
2001-07-10,555.2999877929689,555.2999877929689,555.2999877929689,1,700,10
2001-07-11,562.0,559.0,567.2000122070312,2,700,11
2001-07-12,562.0,562.0,562.0,3,700,12
2001-07-13,555.0999755859375,555.0999755859375,555.0999755859375,4,700,13
2001-07-16,545.4000244140625,545.4000244140625,555.4000244140625,0,700,16
2001-07-17,546.0999755859375,546.0999755859375,544.0,1,700,17
2001-07-18,525.0,525.0,525.0,2,700,18
2001-07-19,522.5,522.0,514.0999755859375,3,700,19
2001-07-20,505.2999877929688,505.2999877929688,505.2999877929688,4,700,20
2001-07-23,498.0,498.0,498.0,0,700,23
2001-07-24,508.1000061035156,508.1000061035156,508.1000061035156,1,700,24
2001-07-25,509.6000061035156,509.6000061035156,509.6000061035156,2,700,25
2001-07-26,508.7999877929688,508.7999877929688,508.7999877929688,3,700,26
2001-07-27,505.1000061035156,502.0,503.70001220703125,4,700,27
2001-07-30,501.1000061035156,467.7999877929688,473.0,0,700,30
2001-07-31,479.0,473.0,474.3999938964844,1,700,31
2001-08-01,477.0,467.0,474.2999877929688,2,800,1
2001-08-02,483.7999877929688,469.0,481.5,3,800,2
2001-08-03,484.0,478.0,480.6000061035156,4,800,3
2001-08-06,475.0,465.20001220703125,466.20001220703125,0,800,6
2001-08-07,465.0,437.0,440.3999938964844,1,800,7
2001-08-08,445.0,438.0,441.5,2,800,8
2001-08-09,441.20001220703125,432.0,436.3999938964844,3,800,9
2001-08-10,459.0,437.0,451.0,4,800,10
2001-08-13,456.0,448.0,453.7999877929688,0,800,13
2001-08-14,453.5,437.5,441.5,1,800,14
2001-08-15,432.7999877929688,426.0,431.3999938964844,2,800,15
2001-08-16,442.7999877929688,422.0,441.8999938964844,3,800,16
2001-08-17,453.5,449.0,450.5,4,800,17
2001-08-20,441.0,435.0,435.5,0,800,20
2001-08-21,448.0,431.1000061035156,443.2999877929688,1,800,21
2001-08-22,449.5,443.5,448.5,2,800,22
2001-08-23,466.0,452.3999938964844,461.5,3,800,23
2001-08-24,459.0,452.0,452.8999938964844,4,800,24
2001-08-27,460.0,454.0,458.1000061035156,0,800,27
2001-08-28,466.7999877929688,460.0,460.8999938964844,1,800,28
2001-08-29,466.5,458.5,459.6000061035156,2,800,29
2001-08-30,447.0,439.5,440.2999877929688,3,800,30
2001-08-31,447.0,442.5,443.0,4,800,31
2001-09-04,446.7999877929688,441.0,444.3999938964844,1,900,4
2001-09-05,446.0,441.5,441.5,2,900,5
2001-09-06,441.5,437.0,437.3999938964844,3,900,6
2001-09-07,446.0,439.0,444.0,4,900,7
2001-09-10,444.0,437.0,438.2999877929688,0,900,10
2001-09-11,441.0,439.0,440.0,1,900,11
2001-09-14,475.0,462.0,473.2999877929688,4,900,14
2001-09-17,490.5,475.5,488.1000061035156,0,900,17
2001-09-18,487.0,482.0,485.1000061035156,1,900,18
2001-09-19,498.0,486.0,492.3999938964844,2,900,19
2001-09-20,493.0,485.0,490.6000061035156,3,900,20
2001-09-21,493.0,482.0,483.3999938964844,4,900,21
2001-09-24,474.0,469.0,471.7999877929688,0,900,24
2001-09-25,450.5,429.0,450.1000061035156,1,900,25
2001-09-26,450.0,445.0,446.0,2,900,26
2001-09-27,445.0,442.20001220703125,445.1000061035156,3,900,27
2001-09-28,433.0,433.0,433.2999877929688,4,900,28
2001-10-01,426.0,415.0,418.5,0,1000,1
2001-10-02,415.0,406.0,419.20001220703125,1,1000,2
2001-10-03,438.0,425.5,426.0,2,1000,3
2001-10-04,435.0,426.0,430.1000061035156,3,1000,4
2001-10-05,438.0,438.0,438.0,4,1000,5
2001-10-08,436.0,436.0,432.5,0,1000,8
2001-10-09,429.0,428.0,425.70001220703125,1,1000,9
2001-10-10,425.0,424.0,431.0,2,1000,10
2001-10-11,446.0,440.0,445.6000061035156,3,1000,11
2001-10-12,459.0,442.0,450.0,4,1000,12
2001-10-15,466.0,457.0,460.8999938964844,0,1000,15
2001-10-16,445.20001220703125,445.20001220703125,445.20001220703125,1,1000,16
2001-10-17,445.0,445.0,438.8999938964844,2,1000,17
2001-10-18,428.0,428.0,431.2999877929688,3,1000,18
2001-10-19,437.0,437.0,437.0,4,1000,19
2001-10-22,435.0,435.0,427.0,0,1000,22
2001-10-23,431.2999877929688,431.2999877929688,431.2999877929688,1,1000,23
2001-10-24,427.1000061035156,427.1000061035156,427.1000061035156,2,1000,24
2001-10-25,430.8999938964844,430.8999938964844,430.8999938964844,3,1000,25
2001-10-26,430.3999938964844,430.3999938964844,430.3999938964844,4,1000,26
2001-10-29,427.0,422.0,423.20001220703125,0,1000,29
2001-10-30,424.0,420.20001220703125,421.2999877929688,1,1000,30
2001-10-31,422.0,411.0,412.5,2,1000,31
2001-11-01,422.0,413.0,421.6000061035156,3,1100,1
2001-11-02,424.5,418.0,420.70001220703125,4,1100,2
2001-11-05,425.5,422.0,423.0,0,1100,5
2001-11-06,422.0,417.0,417.1000061035156,1,1100,6
2001-11-07,416.0,413.0,414.0,2,1100,7
2001-11-08,418.0,412.20001220703125,417.7999877929688,3,1100,8
2001-11-09,425.0,419.5,422.6000061035156,4,1100,9
2001-11-12,450.0,425.0,442.6000061035156,0,1100,12
2001-11-13,432.0,416.0,419.70001220703125,1,1100,13
2001-11-14,428.0,422.0,425.3999938964844,2,1100,14
2001-11-15,425.0,421.5,423.0,3,1100,15
2001-11-16,428.5,425.0,427.8999938964844,4,1100,16
2001-11-19,438.0,427.0,437.0,0,1100,19
2001-11-20,442.0,435.0,439.2999877929688,1,1100,20
2001-11-21,445.0,441.0,442.0,2,1100,21
2001-11-26,440.0,436.0,439.70001220703125,0,1100,26
2001-11-27,444.5,438.0,438.3999938964844,1,1100,27
2001-11-28,437.5,434.0,436.0,2,1100,28
2001-11-29,445.0,436.5,444.20001220703125,3,1100,29
2001-11-30,449.7999877929688,442.5,449.2999877929688,4,1100,30
2001-12-03,459.5,452.0,457.70001220703125,0,1200,3
2001-12-04,460.8999938964844,453.5,454.20001220703125,1,1200,4
2001-12-05,457.0,453.0,453.6000061035156,2,1200,5
2001-12-06,465.0,456.0,463.2999877929688,3,1200,6
2001-12-07,470.0,470.0,470.0,4,1200,7
2001-12-10,476.0,468.5,474.3999938964844,0,1200,10
2001-12-11,464.5,456.0,460.70001220703125,1,1200,11
2001-12-12,478.0,463.0,467.6000061035156,2,1200,12
2001-12-13,469.5,465.0,468.7999877929688,3,1200,13
2001-12-14,470.0,465.0,467.6000061035156,4,1200,14
2001-12-17,471.0,463.0,467.6000061035156,0,1200,17
2001-12-18,466.0,460.0,463.1000061035156,1,1200,18
2001-12-19,466.0,456.5,458.6000061035156,2,1200,19
2001-12-20,459.0,451.0,457.1000061035156,3,1200,20
2001-12-21,473.0,458.0,471.2999877929688,4,1200,21
2001-12-26,476.5,471.0,474.0,2,1200,26
2001-12-27,483.0,473.0,480.70001220703125,3,1200,27
2001-12-28,490.0,480.0,486.5,4,1200,28
2001-12-31,491.0,483.0,493.0,0,1200,31
2002-01-02,490.0,483.0,483.5,2,100,2
2002-01-03,486.0,482.0,485.5,3,100,3
2002-01-04,478.0,472.0,478.20001220703125,4,100,4
2002-01-07,475.0,470.0,476.2999877929688,0,100,7
2002-01-08,479.0,475.0,478.2999877929688,1,100,8
2002-01-09,482.0,481.0,483.0,2,100,9
2002-01-10,483.1000061035156,483.1000061035156,483.1000061035156,3,100,10
2002-01-11,483.0,483.0,483.3999938964844,4,100,11
