Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,FFT_Mag_High_150,FFT_Angl_High_150,FFT_Mag_Low_150,FFT_Angl_Low_150
2001-02-08,4.559999942779541,4.559999942779541,4.559999942779541,3,200,8,2001,4.559999942779541,2.0765591331025174e-19,4.55999994277954,3.3586163741233836e-18
2001-02-09,4.552999973297119,4.552999973297119,4.552999973297119,4,200,9,2001,4.552999973297119,-2.2618700568189357e-18,4.552999973297119,-1.2377470012493642e-18
2001-02-14,4.579999923706055,4.579999923706055,4.579999923706055,2,200,14,2001,4.579999923706055,-1.7249549153265567e-18,4.579999923706055,-7.060430361958184e-19
2001-02-15,4.513000011444092,4.513000011444092,4.513000011444092,3,200,15,2001,4.513000011444092,0.0,4.513000011444092,0.0
2001-02-16,4.48799991607666,4.48799991607666,4.48799991607666,4,200,16,2001,4.487999916076659,1.0980056194544934e-19,4.487999916076659,3.8441576675363335e-19
2001-02-20,4.418000221252441,4.418000221252441,4.418000221252441,1,200,20,2001,4.418000221252441,0.0,4.4180002212524405,0.0
2001-02-21,4.406000137329102,4.406000137329102,4.406000137329102,2,200,21,2001,4.406000137329102,4.7246212126404214e-18,4.406000137329102,3.149747475093614e-18
2001-02-22,4.413000106811523,4.413000106811523,4.413000106811523,3,200,22,2001,4.413000106811523,-3.344849998866128e-18,4.413000106811523,-3.908034244658471e-18
2001-02-23,4.431000232696533,4.431000232696533,4.431000232696533,4,200,23,2001,4.431000232696534,-8.682074717176445e-19,4.431000232696535,-1.1115133571872774e-18
2001-02-26,4.442999839782715,4.442999839782715,4.442999839782715,0,200,26,2001,4.442999839782715,-5.115421794087198e-18,4.442999839782715,6.231139209373246e-18
2001-02-27,4.46999979019165,4.400000095367432,4.414000034332275,1,200,27,2001,4.46999979019165,-8.900436730414717e-19,4.400000095367432,-9.217710178605322e-18
2001-02-28,4.539999961853027,4.389999866485597,4.4720001220703125,2,200,28,2001,4.539999961853028,0.0,4.3899998664855975,0.0
2001-03-01,4.489999771118164,4.389999866485597,4.394999980926514,3,300,1,2001,4.489999771118165,1.0110193486985505e-18,4.389999866485597,-1.908172205127599e-18
2001-03-02,4.449999809265137,4.389999866485597,4.419000148773193,4,300,2,2001,4.449999809265137,2.034290064706103e-18,4.389999866485597,4.176050405976138e-18
2001-03-05,4.449999809265137,4.380000114440918,4.415999889373778,0,300,5,2001,4.449999809265137,-2.4781875974859246e-18,4.380000114440918,3.525365695489551e-18
2001-03-06,4.420000076293945,4.389999866485597,4.4079999923706055,1,300,6,2001,4.4200000762939435,0.0,4.389999866485595,0.0
2001-03-07,4.440000057220459,4.380000114440918,4.427999973297119,2,300,7,2001,4.440000057220459,1.0166159215559207e-17,4.380000114440918,-5.6043562810146876e-18
2001-03-08,4.494999885559082,4.4099998474121085,4.47599983215332,3,300,8,2001,4.494999885559081,0.0,4.4099998474121085,0.0
2001-03-09,4.519999980926514,4.460000038146973,4.48799991607666,4,300,9,2001,4.519999980926514,3.798729521072291e-18,4.460000038146973,5.595343707119831e-18
2001-03-12,4.494999885559082,4.400000095367432,4.4089999198913565,0,300,12,2001,4.494999885559082,1.2495701319905029e-18,4.400000095367432,-4.87072163081152e-19
2001-03-13,4.434999942779541,4.375,4.419000148773193,1,300,13,2001,4.43499994277954,-2.518772043984187e-18,4.375000000000001,1.886762383024042e-18
2001-03-14,4.445000171661377,4.389999866485597,4.427999973297119,2,300,14,2001,4.445000171661376,0.0,4.389999866485597,0.0
2001-03-15,4.425000190734863,4.320000171661377,4.324999809265137,3,300,15,2001,4.425000190734863,-5.222179039709993e-18,4.320000171661377,-5.471624041556382e-19
2001-03-16,4.309999942779541,4.269999980926514,4.2880001068115225,4,300,16,2001,4.309999942779541,-1.5348534603289502e-18,4.269999980926514,4.841719502575141e-18
