Date,High,Low,Close,DayNumber
2001-01-17,107.0,105.75,105.75,2
2001-01-24,105.5,105.5,105.5,2
2001-01-25,104.5,104.5,104.5,3
2001-01-29,104.5,104.5,102.75,0
2001-02-27,99.5,99.5,99.5,1
2001-02-28,99.5,99.5,100.25,2
2001-03-16,106.0,106.0,106.0,4
2001-03-19,106.0,106.0,107.75,0
2001-03-20,109.0,109.0,109.0,1
2001-03-21,106.25,106.25,106.25,2
2001-03-22,103.75,103.75,103.75,3
2001-03-28,106.5,106.5,106.5,2
2001-03-29,107.0,107.0,107.0,3
2001-04-02,108.25,108.25,108.25,0
2001-04-03,109.25,109.25,109.25,1
2001-04-05,110.5,110.5,110.5,3
2001-04-06,110.0,110.0,110.0,4
2001-04-12,110.5,110.5,110.5,3
2001-04-16,110.5,110.0,110.0,0
2001-04-17,111.25,111.25,111.25,1
2001-04-18,110.75,110.75,110.75,2
2001-04-19,109.75,109.75,109.75,3
2001-04-26,107.5,107.5,107.5,3
2001-05-07,112.25,112.25,112.25,0
2001-05-14,106.25,106.25,106.25,0
2001-05-15,110.0,110.0,110.0,1
2001-05-16,109.75,109.75,109.75,2
2001-05-17,110.5,110.5,110.5,3
2001-05-22,110.5,109.5,109.5,1
2001-05-23,110.0,110.0,110.0,2
2001-05-24,111.25,111.25,111.25,3
2001-05-30,112.25,112.25,112.25,2
2001-05-31,112.5,112.0,112.5,3
2001-06-04,115.0,115.0,115.0,0
2001-06-06,110.75,110.75,110.75,2
2001-06-13,107.25,107.25,107.25,2
2001-06-14,106.75,106.75,106.75,3
2001-06-25,104.0,104.0,104.0,0
2001-06-26,104.75,104.75,104.75,1
2001-06-28,107.5,107.5,107.5,3
2001-07-02,107.5,107.5,108.5,0
2001-07-03,109.5,109.5,109.5,1
2001-07-06,112.25,112.25,112.25,4
2001-07-10,117.0,116.75,117.0,1
2001-07-11,119.5,119.5,119.5,2
2001-07-13,147.0,143.5,146.0,4
2001-07-17,132.0,132.0,132.0,1
2001-07-18,134.0,133.0,134.0,2
2001-07-19,133.5,131.0,133.5,3
2001-07-20,130.75,130.75,130.75,4
2001-07-24,144.0,141.0,141.0,1
2001-07-26,152.0,152.0,152.0,3
2001-07-27,145.0,144.0,144.0,4
2001-07-30,145.25,144.75,145.25,0
2001-07-31,134.5,134.5,134.5,1
2001-08-01,140.5,140.5,140.5,2
2001-08-02,129.0,129.0,129.0,3
2001-08-07,136.0,134.5,136.0,1
2001-08-08,133.0,133.0,133.0,2
2001-08-09,133.75,133.75,133.75,3
2001-08-13,135.0,135.0,135.0,0
2001-08-14,133.5,133.5,133.5,1
2001-08-15,131.75,131.75,131.75,2
2001-08-20,129.5,129.5,129.5,0
2001-08-21,129.75,129.75,129.75,1
2001-08-23,130.0,130.0,130.0,3
2001-08-28,136.5,136.5,136.5,1
2001-08-29,141.5,141.5,141.5,2
2001-08-30,139.75,139.75,139.75,3
2001-09-05,145.25,145.25,145.25,2
2001-09-06,144.25,144.25,144.25,3
2001-09-10,143.5,143.5,143.5,0
2001-09-13,143.5,143.5,143.5,3
2001-09-17,134.0,134.0,134.0,0
2001-11-14,134.0,134.0,134.0,2
2001-11-15,220.0,220.0,220.0,3
2001-11-16,220.0,220.0,221.5,4
2001-11-20,220.5,220.5,220.5,1
2001-11-21,211.75,211.75,211.75,2
2001-11-23,201.0,200.5,210.0,4
2001-11-28,212.5,212.5,212.5,2
2001-11-30,216.5,216.5,216.5,4
2001-12-03,224.5,224.5,224.5,0
2001-12-04,230.0,230.0,230.0,1
2001-12-05,233.5,233.5,233.5,2
2001-12-06,226.5,226.5,226.5,3
2001-12-07,234.75,234.75,234.75,4
2001-12-11,235.25,235.25,235.25,1
2001-12-12,239.75,239.75,239.75,2
2001-12-13,243.0,243.0,243.0,3
2001-12-14,245.0,245.0,245.0,4
2001-12-17,132.75,132.75,132.75,0
2002-01-14,132.75,132.75,132.75,0
2002-01-16,191.0,191.0,191.0,2
2002-01-17,192.25,192.25,192.25,3
2002-01-18,192.0,192.0,192.0,4
2002-01-22,193.0,193.0,193.0,1
2002-01-23,196.5,196.5,196.5,2
2002-01-24,198.5,198.5,198.5,3
2002-01-25,193.25,193.25,193.25,4
2002-01-28,193.25,193.0,193.25,0
2002-01-30,194.5,194.25,194.5,2
2002-01-31,203.0,202.0,202.0,3
2002-02-01,198.75,198.75,198.75,4
2002-02-04,198.75,198.75,198.75,0
2002-02-05,205.25,201.0,201.0,1
2002-02-06,202.75,202.0,202.0,2
2002-02-07,207.0,207.0,207.0,3
2002-02-08,204.0,204.0,204.0,4
2002-02-12,203.0,203.0,203.0,1
2002-02-13,204.25,204.25,204.25,2
2002-02-15,206.0,206.0,206.0,4
2002-02-18,206.0,206.0,207.5,0
2002-02-19,208.75,208.75,208.75,1
2002-02-21,217.0,216.0,217.0,3
2002-02-22,229.5,229.5,229.5,4
2002-02-25,228.0,227.0,227.0,0
2002-02-26,228.0,227.0,233.5,1
2002-02-27,231.0,231.0,231.0,2
2002-02-28,231.0,231.0,225.75,3
2002-03-01,234.75,234.75,234.75,4
2002-03-04,240.0,240.0,240.0,0
2002-03-05,238.75,238.75,238.75,1
2002-03-07,239.75,239.75,239.75,3
2002-03-08,242.5,242.5,242.5,4
2002-03-11,243.25,243.25,243.25,0
2002-03-12,244.25,244.25,244.25,1
2002-03-13,242.0,242.0,242.0,2
2002-03-14,233.0,233.0,233.0,3
