Date,High,Low,Close
2001-01-02,588.0,588.0,588.0
2001-01-03,600.5,600.5,600.5
2001-01-04,600.0,600.0,600.0
2001-01-05,594.0,594.0,594.0
2001-01-09,610.0,610.0,610.0
2001-01-10,608.0,608.0,608.0
2001-01-12,598.0,598.0,598.0
2001-01-16,589.0,589.0,589.0
2001-01-22,592.0,592.0,592.0
2001-01-23,595.5,595.5,595.5
2001-01-24,580.5,580.5,580.5
2001-01-25,591.0,591.0,591.0
2001-01-29,585.5,585.5,585.5
2001-01-30,581.0,581.0,581.0
2001-01-31,575.0,575.0,575.0
2001-02-01,565.5,565.5,565.5
2001-02-02,566.0,566.0,566.0
2001-02-06,578.0,578.0,578.0
2001-02-07,569.0,569.0,569.0
2001-02-08,558.0,558.0,558.0
2001-02-09,563.0,563.0,563.0
2001-02-12,564.0,564.0,564.0
2001-02-20,577.0,577.0,577.0
2001-02-22,579.0,579.0,579.0
2001-02-26,583.5,583.5,583.5
2001-02-27,579.5,579.5,579.5
2001-02-28,597.0,597.0,597.0
2001-03-01,603.0,603.0,603.0
2001-03-02,596.0,596.0,596.0
2001-03-05,593.0,593.0,593.0
2001-03-08,590.0,590.0,590.0
2001-03-09,585.0,585.0,585.0
2001-03-13,586.0,586.0,586.0
2001-03-14,585.0,566.0,566.0
2001-03-15,550.0,550.0,550.0
2001-03-19,549.0,549.0,549.0
2001-03-20,540.0,540.0,540.0
2001-03-21,535.0,535.0,535.0
2001-03-22,533.0,533.0,533.0
2001-03-23,546.0,546.0,546.0
2001-03-26,548.0,548.0,548.0
2001-03-27,537.0,537.0,537.0
2001-03-28,527.0,527.0,527.0
2001-03-29,539.0,539.0,539.0
2001-04-02,553.0,553.0,553.0
2001-04-03,560.0,560.0,560.0
2001-04-09,574.0,574.0,574.0
2001-04-11,567.0,567.0,567.0
2001-04-12,571.0,571.0,571.0
2001-04-24,541.5,541.5,541.5
2001-04-25,544.0,544.0,544.0
2001-04-27,535.5,535.5,535.5
2001-04-30,552.0,552.0,552.0
2001-05-03,559.0,559.0,559.0
2001-05-04,555.0,555.0,555.0
2001-05-07,554.0,554.0,554.0
2001-05-08,568.0,568.0,568.0
2001-05-10,557.0,557.0,557.0
2001-05-16,520.0,520.0,520.0
2001-05-24,545.0,545.0,545.0
2001-05-31,574.5,574.5,574.5
2001-06-01,580.0,578.0,578.0
2001-06-05,601.5,601.5,601.5
2001-06-12,620.5,620.5,620.5
2001-06-13,641.5,641.5,641.5
2001-06-14,635.0,635.0,635.0
2001-06-15,658.0,658.0,658.0
2001-06-18,701.0,701.0,701.0
2001-06-19,676.0,676.0,676.0
2001-06-20,632.0,632.0,632.0
2001-06-21,631.0,631.0,631.0
2001-06-22,621.0,621.0,621.0
2001-06-26,525.0,525.0,525.0
2001-06-27,550.0,490.0,550.0
2001-06-28,521.5,521.5,521.5
2001-06-29,510.0,510.0,510.0
2001-07-02,538.0,538.0,538.0
2001-07-05,530.0,530.0,530.0
2001-07-06,525.0,525.0,525.0
2001-07-09,518.0,518.0,518.0
2001-07-12,536.0,536.0,536.0
2001-07-23,517.0,517.0,517.0
2001-07-26,516.0,516.0,516.0
2001-07-27,505.0,505.0,505.0
2001-07-30,496.0,496.0,496.0
2001-07-31,493.0,493.0,493.0
2001-08-01,495.0,495.0,495.0
2001-08-02,490.0,490.0,490.0
2001-08-06,489.0,489.0,489.0
2001-08-07,474.0,474.0,474.0
2001-08-08,480.0,480.0,480.0
2001-08-09,470.0,470.0,470.0
2001-08-10,476.0,476.0,476.0
2001-08-13,479.0,479.0,479.0
2001-08-14,475.0,475.0,475.0
2001-08-15,467.0,467.0,467.0
2001-08-16,461.0,461.0,461.0
2001-08-17,463.0,463.0,463.0
2001-08-20,468.0,468.0,468.0
2001-08-21,459.0,459.0,459.0
2001-08-22,455.0,455.0,455.0
2001-08-23,440.5,440.5,440.5
2001-08-24,423.0,423.0,423.0
2001-08-27,406.0,406.0,406.0
2001-08-28,400.5,400.5,400.5
2001-08-29,394.0,394.0,394.0
2001-08-30,391.5,391.5,391.5
2001-08-31,398.0,398.0,398.0
2001-09-04,403.0,403.0,403.0
2001-09-05,412.0,412.0,412.0
2001-09-06,397.0,397.0,397.0
2001-09-07,396.0,396.0,396.0
2001-09-10,395.0,395.0,395.0
2001-09-13,393.0,393.0,393.0
2001-09-14,388.0,388.0,388.0
2001-09-17,382.0,382.0,382.0
2001-09-18,376.0,376.0,376.0
2001-09-19,372.0,372.0,372.0
2001-09-20,383.5,383.5,383.5
2001-09-21,389.5,389.5,389.5
2001-09-25,398.0,394.0,398.0
2001-09-26,411.0,411.0,411.0
2001-09-27,404.0,404.0,404.0
2001-09-28,405.0,405.0,405.0
2001-10-01,401.0,401.0,401.0
2001-10-08,402.0,402.0,402.0
2001-10-09,409.0,409.0,409.0
2001-10-11,407.0,405.0,407.0
2001-10-12,400.0,400.0,400.0
2001-10-18,391.0,391.0,391.0
2001-10-19,385.0,385.0,385.0
2001-10-22,373.0,373.0,373.0
2001-10-23,374.0,374.0,374.0
2001-10-24,369.0,369.0,369.0
2001-10-26,362.5,362.5,362.5
2001-10-29,354.0,354.0,354.0
2001-10-30,356.0,356.0,356.0
2001-10-31,360.0,360.0,360.0
2001-11-01,359.0,359.0,359.0
2001-11-02,357.0,357.0,357.0
2001-11-05,355.0,355.0,355.0
2001-11-06,350.0,350.0,350.0
2001-11-08,352.5,352.5,352.5
2001-11-12,365.0,365.0,365.0
2001-11-13,366.0,366.0,366.0
2001-11-15,383.0,383.0,383.0
2001-11-16,379.0,379.0,379.0
2001-11-20,377.0,377.0,377.0
2001-11-26,413.0,413.0,413.0
2001-11-27,410.0,410.0,410.0
2001-11-28,397.5,397.5,397.5
2001-11-30,401.5,401.5,401.5
2001-12-04,408.0,408.0,408.0
2001-12-05,414.0,414.0,414.0
2001-12-06,414.0,414.0,414.0
