Date,High,Low,Close,DayNumber
2001-01-02,500.5,500.0,500.0,1
2001-01-03,493.75,493.75,493.75,2
2001-01-04,499.5,498.0,499.5,3
2001-01-05,493.75,493.0,493.75,4
2001-01-08,488.0,488.0,488.0,0
2001-01-09,488.0,488.0,491.0,1
2001-01-10,494.75,489.5,490.5,2
2001-01-11,482.0,480.0,482.0,3
2001-01-12,482.0,476.0,479.25,4
2001-01-16,482.5,480.0,481.0,1
2001-01-17,477.0,475.0,477.0,2
2001-01-18,474.75,472.0,473.5,3
2001-01-19,476.0,473.0,476.0,4
2001-01-22,470.75,469.25,469.5,0
2001-01-23,477.5,476.0,477.5,1
2001-01-24,468.5,467.25,468.0,2
2001-01-25,470.0,469.0,469.0,3
2001-01-26,467.0,465.0,467.0,4
2001-01-29,460.0,457.75,459.75,0
2001-01-30,461.25,459.75,461.25,1
2001-01-31,461.0,459.75,459.75,2
2001-02-01,459.5,458.25,458.25,3
2001-02-02,463.0,462.25,463.0,4
2001-02-05,468.5,467.0,468.0,0
2001-02-06,462.25,461.0,461.0,1
2001-02-07,465.5,464.0,465.25,2
2001-02-08,463.5,462.25,463.0,3
2001-02-09,453.0,452.0,453.0,4
2001-02-12,456.5,454.5,456.5,0
2001-02-13,453.75,449.5,450.0,1
2001-02-14,451.25,449.5,451.25,2
2001-02-15,453.25,451.75,453.25,3
2001-02-16,451.75,450.0,451.75,4
2001-02-20,459.0,456.0,458.5,1
2001-02-21,455.0,453.75,454.0,2
2001-02-22,460.0,457.5,459.0,3
2001-02-23,453.5,447.0,448.0,4
2001-02-26,448.75,447.25,447.75,0
2001-02-27,450.5,449.75,450.5,1
2001-02-28,454.75,451.0,454.75,2
2001-03-01,454.5,453.0,453.75,3
2001-03-02,460.0,456.75,460.0,4
2001-03-05,463.5,456.0,456.5,0
2001-03-06,456.75,453.5,456.5,1
2001-03-07,463.0,461.75,463.0,2
2001-03-08,459.5,458.5,458.5,3
2001-03-09,461.0,455.0,456.75,4
2001-03-12,455.0,455.0,455.0,0
2001-03-13,455.0,455.0,459.0,1
2001-03-14,451.0,442.0,442.0,2
2001-03-15,445.0,442.5,444.5,3
2001-03-16,447.0,445.0,447.0,4
2001-03-19,444.25,442.5,444.25,0
2001-03-20,445.75,443.25,445.75,1
2001-03-21,446.5,445.5,445.5,2
2001-03-22,445.0,438.5,438.5,3
2001-03-23,436.25,434.5,435.5,4
2001-03-26,439.75,438.0,439.75,0
2001-03-27,442.5,441.0,441.0,1
2001-03-28,445.0,444.0,444.0,2
2001-03-29,441.75,440.5,441.5,3
2001-03-30,438.75,436.0,436.0,4
2001-04-02,433.25,431.75,431.75,0
2001-04-03,432.25,429.0,430.0,1
2001-04-04,431.0,429.5,430.0,2
2001-04-05,439.0,437.0,439.0,3
2001-04-06,439.0,437.0,437.5,4
2001-04-09,437.75,435.5,437.75,0
2001-04-10,442.0,440.75,442.0,1
2001-04-11,434.5,433.0,434.5,2
2001-04-12,437.25,436.75,437.25,3
2001-04-16,435.5,434.0,434.75,0
2001-04-17,432.5,431.25,431.5,1
2001-04-18,430.0,426.5,428.25,2
2001-04-19,434.5,432.0,434.5,3
2001-04-20,431.0,429.0,431.0,4
2001-04-23,430.0,428.75,429.25,0
2001-04-24,423.0,422.5,423.0,1
2001-04-25,426.0,424.5,425.0,2
2001-04-26,426.0,422.0,424.75,3
2001-04-27,430.0,427.75,430.0,4
2001-04-30,424.5,422.0,422.0,0
2001-05-01,433.0,431.75,431.75,1
2001-05-02,433.0,431.75,436.0,2
2001-05-03,440.0,440.0,440.0,3
2001-05-04,440.0,440.0,442.75,4
2001-05-07,440.0,440.0,442.75,0
2001-05-08,442.5,440.25,440.25,1
2001-05-09,440.25,440.25,447.5,2
2001-05-10,447.5,447.5,447.5,3
2001-05-14,444.75,443.0,443.0,0
2001-05-15,445.75,442.5,443.5,1
2001-05-16,444.0,443.0,443.25,2
2001-05-17,447.5,446.25,447.25,3
2001-05-18,451.0,449.5,451.0,4
2001-05-21,448.5,446.25,446.5,0
2001-05-22,444.75,443.25,443.25,1
2001-05-23,447.0,444.5,445.25,2
2001-05-24,448.0,446.25,448.0,3
2001-05-25,450.0,449.25,450.0,4
2001-05-29,448.5,446.5,446.75,1
2001-05-30,440.5,439.0,439.5,2
2001-05-31,439.25,437.75,438.0,3
2001-06-01,454.25,450.5,454.25,4
2001-06-04,454.0,451.5,453.75,0
2001-06-05,457.5,453.0,457.0,1
2001-06-06,453.75,452.0,452.0,2
2001-06-07,462.75,460.5,461.5,3
2001-06-08,461.25,458.0,458.75,4
2001-06-12,473.75,471.25,473.0,1
2001-06-13,473.5,472.0,473.0,2
2001-06-14,475.0,472.5,474.75,3
2001-06-15,470.75,469.5,469.5,4
2001-06-18,461.5,457.25,461.5,0
2001-06-19,468.0,464.25,464.25,1
2001-06-20,470.5,468.25,470.0,2
2001-06-21,459.0,457.75,458.5,3
2001-06-22,454.5,453.0,453.5,4
2001-06-25,447.75,447.0,447.0,0
2001-06-26,445.0,444.25,445.0,1
2001-06-27,451.0,449.5,451.0,2
2001-06-28,457.0,455.25,456.0,3
2001-06-29,457.5,455.0,457.5,4
2001-07-02,474.0,471.75,471.75,0
2001-07-03,483.75,481.5,481.5,1
2001-07-05,482.25,476.0,482.25,3
2001-07-06,487.5,486.0,487.5,4
2001-07-09,486.0,482.0,486.0,0
2001-07-10,502.0,494.75,502.0,1
2001-07-11,505.0,501.5,505.0,2
2001-07-12,515.0,509.5,513.0,3
2001-07-13,529.75,523.5,525.0,4
2001-07-16,523.0,518.5,519.0,0
2001-07-17,532.5,514.0,529.0,1
2001-07-18,528.5,513.0,514.5,2
2001-07-19,519.0,513.0,517.5,3
2001-07-20,514.75,510.0,510.0,4
2001-07-23,493.0,489.5,492.0,0
2001-07-24,515.25,509.0,509.25,1
2001-07-25,508.75,502.25,504.5,2
2001-07-26,516.0,510.75,516.0,3
