,Open,High,Low,Close,Volume,Forcast,Forcast_Direction,Real_Direction,Result,diff_right,diff_wrong
2023-03-20,155.07000732421875,157.82000732421875,154.14999389648438,157.39999389648438,73641400,147.53634643554688,null,null,null,0.0,0.0
2023-03-21,157.32000732421875,159.39999389648438,156.5399932861328,159.27999877929688,73938300,153.89222717285156,Up,Down,0,0.0,1.4499969482421875
2023-03-22,159.3000030517578,162.13999938964844,157.80999755859375,157.8300018310547,75701800,153.3251495361328,Down,Up,0,0.0,1.0999908447265625
2023-03-23,158.8300018310547,161.5500030517578,157.67999267578125,158.92999267578125,67622100,153.36607360839844,Up,Up,1,1.32000732421875,0.0
2023-03-24,158.86000061035156,160.33999633789062,157.85000610351562,160.25,59196500,154.1901092529297,Up,Down,0,0.0,1.970001220703125
2023-03-27,159.94000244140625,160.77000427246094,157.8699951171875,158.27999877929688,52390300,150.26930236816406,Down,Down,1,0.6300048828125,0.0
2023-03-28,157.97000122070312,158.49000549316406,155.97999572753906,157.64999389648438,45992200,152.4090118408203,Up,Up,1,3.1200103759765625,0.0
2023-03-29,159.3699951171875,161.0500030517578,159.35000610351562,160.77000427246094,51305700,157.74827575683594,Up,Up,1,1.589996337890625,0.0
2023-03-30,161.52999877929688,162.47000122070312,161.27000427246094,162.36000061035156,49501700,156.93869018554688,Down,Up,0,0.0,2.5399932861328125
2023-03-31,162.44000244140625,165.0,161.91000366210938,164.89999389648438,68749800,159.55409240722656,Up,Up,1,1.2700042724609375,0.0
2023-04-03,164.27000427246094,166.2899932861328,164.22000122070312,166.1699981689453,56976200,155.64610290527344,Down,Down,1,0.5399932861328125,0.0
2023-04-04,166.60000610351562,166.83999633789062,165.11000061035156,165.6300048828125,46278300,158.7307891845703,Up,Down,0,0.0,1.8700103759765625
2023-04-05,164.74000549316406,165.0500030517578,161.8000030517578,163.75999450683594,51511700,155.43141174316406,Down,Up,0,0.0,0.9000091552734375
2023-04-06,162.42999267578125,164.9600067138672,162.0,164.66000366210938,45390100,158.98684692382812,Up,Down,0,0.0,2.6300048828125
2023-04-10,161.4199981689453,162.02999877929688,160.0800018310547,162.02999877929688,47716900,151.83287048339844,Down,Down,1,1.2299957275390625,0.0
2023-04-11,162.35000610351562,162.36000061035156,160.50999450683594,160.8000030517578,47644200,157.4730987548828,Up,Down,0,0.0,0.6999969482421875
2023-04-12,161.22000122070312,162.05999755859375,159.77999877929688,160.10000610351562,50133100,156.06631469726562,Down,Up,0,0.0,5.459991455078125
2023-04-13,161.6300048828125,165.8000030517578,161.4199981689453,165.55999755859375,68445600,161.7449188232422,Up,Down,0,0.0,0.3499908447265625
2023-04-14,164.58999633789062,166.32000732421875,163.82000732421875,165.2100067138672,49386500,159.70738220214844,Down,Up,0,0.0,0.019989013671875
2023-04-17,165.08999633789062,165.38999938964844,164.02999877929688,165.22999572753906,41516200,155.81912231445312,Down,Up,0,0.0,1.2400054931640625
2023-04-18,166.10000610351562,167.41000366210938,165.64999389648438,166.47000122070312,49923000,162.80810546875,Up,Up,1,1.160003662109375,0.0
2023-04-19,165.8000030517578,168.16000366210938,165.5399932861328,167.6300048828125,47720200,160.69158935546875,Down,Down,1,0.980010986328125,0.0
2023-04-20,166.08999633789062,167.8699951171875,165.55999755859375,166.64999389648438,52456400,160.57041931152344,Down,Down,1,1.6299896240234375,0.0
2023-04-21,165.0500030517578,166.4499969482422,164.49000549316406,165.02000427246094,58337300,159.95175170898438,Down,Up,0,0.0,0.30999755859375
2023-04-24,165.0,165.60000610351562,163.88999938964844,165.3300018310547,41949600,156.73814392089844,Down,Down,1,1.55999755859375,0.0
2023-04-25,165.19000244140625,166.30999755859375,163.72999572753906,163.77000427246094,48714100,160.5922393798828,Up,Down,0,0.0,0.010009765625
2023-04-26,163.05999755859375,165.27999877929688,162.8000030517578,163.75999450683594,45498800,158.61244201660156,Down,Up,0,0.0,4.6500091552734375
2023-04-27,165.19000244140625,168.55999755859375,165.19000244140625,168.41000366210938,64902300,164.67550659179688,Up,Up,1,1.269989013671875,0.0
2023-04-28,168.49000549316406,169.85000610351562,167.8800048828125,169.67999267578125,55209200,163.4345245361328,Down,Down,1,0.089996337890625,0.0
