,Open,High,Low,Close,Volume,Forcast,Forcast_Direction,Real_Direction,Result,diff_right,diff_wrong
2023-04-20,2422.25,2422.25,2422.25,2422.25,16,0.0,null,null,null,0.0,0.0
2023-04-21,2386.75,2386.75,2386.75,2386.75,18,0.0,equal,Down,0,0.0,11.5
2023-04-24,2375.25,2375.25,2375.25,2375.25,16,0.0,equal,Down,0,0.0,46.0
2023-04-25,2329.25,2329.25,2329.25,2329.25,16,0.0,equal,Down,0,0.0,10.75
2023-04-26,2318.5,2318.5,2318.5,2318.5,16,0.0,equal,Down,0,0.0,7.0
2023-04-27,2311.5,2311.5,2311.5,2311.5,96,0.0,equal,Up,0,0.0,48.25
2023-04-28,2314.75,2380.25,2314.75,2359.75,31,0.0,equal,Up,0,0.0,31.0
2023-05-01,2390.75,2390.75,2390.75,2390.75,13,0.0,equal,Down,0,0.0,8.0
2023-05-02,2382.75,2382.75,2382.75,2382.75,18,0.0,equal,Down,0,0.0,52.0
2023-05-03,2355.0,2355.0,2330.75,2330.75,16,0.0,equal,Down,0,0.0,30.25
2023-05-04,2300.5,2300.5,2300.5,2300.5,16,0.0,equal,Up,0,0.0,29.0
2023-05-05,2329.5,2329.5,2329.5,2329.5,16,0.0,equal,Down,0,0.0,15.25
2023-05-08,2314.25,2314.25,2314.25,2314.25,16,0.0,equal,Up,0,0.0,19.5
2023-05-09,2333.75,2333.75,2333.75,2333.75,16,0.0,equal,Down,0,0.0,49.0
2023-05-10,2284.75,2284.75,2284.75,2284.75,16,0.0,equal,Down,0,0.0,68.25
2023-05-11,2216.5,2216.5,2216.5,2216.5,16,0.0,equal,Up,0,0.0,21.75
2023-05-12,2238.25,2238.25,2238.25,2238.25,18,0.0,equal,Up,0,0.0,12.0
2023-05-15,2254.5,2254.5,2250.25,2250.25,21,0.0,equal,Up,0,0.0,9.75
2023-05-16,2260.0,2260.0,2260.0,2260.0,16,0.0,equal,Up,0,0.0,35.75
2023-05-17,2295.75,2295.75,2295.75,2295.75,16,0.0,equal,Down,0,0.0,9.0
2023-05-18,2286.75,2286.75,2286.75,2286.75,16,0.0,equal,Up,0,0.0,13.25
2023-05-19,2300.0,2300.0,2287.0,2300.0,17,0.0,equal,Down,0,0.0,9.5
2023-05-22,2290.5,2290.5,2290.5,2290.5,23,0.0,equal,Down,0,0.0,35.5
2023-05-23,2240.5,2255.0,2240.25,2255.0,19,0.0,equal,Down,0,0.0,25.0
2023-05-24,2228.5,2231.25,2228.5,2230.0,21,0.0,equal,Up,0,0.0,3.25
2023-05-25,2231.5,2233.25,2231.5,2233.25,16,0.0,equal,Up,0,0.0,11.75
2023-05-26,2245.0,2245.0,2245.0,2245.0,228,0.0,equal,Down,0,0.0,17.25
2023-05-30,2227.75,2227.75,2227.75,2227.75,39,0.0,equal,Up,0,0.0,27.75
2023-05-31,2255.5,2255.5,2255.5,2255.5,18,0.0,equal,Up,0,0.0,43.75
2023-06-01,2299.25,2299.25,2299.25,2299.25,16,0.0,equal,Down,0,0.0,29.75
2023-06-02,2269.5,2269.5,2269.5,2269.5,16,0.0,equal,Down,0,0.0,29.0
2023-06-05,2240.5,2240.5,2240.5,2240.5,16,0.0,equal,Down,0,0.0,35.75
2023-06-06,2204.75,2204.75,2204.75,2204.75,16,0.0,equal,Up,0,0.0,2.5
2023-06-07,2209.25,2209.25,2197.0,2207.25,78,0.0,equal,Up,0,0.0,33.5
2023-06-08,2240.75,2240.75,2240.75,2240.75,16,0.0,equal,Up,0,0.0,13.5
2023-06-09,2254.25,2254.25,2254.25,2254.25,16,0.0,equal,Down,0,0.0,43.0
2023-06-12,2211.25,2211.25,2211.25,2211.25,16,0.0,equal,Up,0,0.0,9.5
2023-06-13,2220.75,2220.75,2220.75,2220.75,20,0.0,equal,Up,0,0.0,23.0
2023-06-14,2243.75,2243.75,2243.75,2243.75,26,0.0,equal,Down,0,0.0,16.0
2023-06-15,2227.75,2227.75,2227.75,2227.75,16,0.0,equal,Up,0,0.0,24.75
2023-06-16,2252.5,2252.5,2252.5,2252.5,16,0.0,equal,Down,0,0.0,35.0
2023-06-20,2217.5,2217.5,2217.5,2217.5,16,0.0,equal,Up,0,0.0,5.5
2023-06-21,2223.0,2223.0,2223.0,2223.0,16,0.0,equal,Down,0,0.0,20.0
2023-06-22,2203.0,2203.0,2203.0,2203.0,16,0.0,equal,Down,0,0.0,34.75
2023-06-23,2168.25,2168.25,2168.25,2168.25,30,0.0,equal,Down,0,0.0,18.75
2023-06-26,2149.5,2149.5,2149.5,2149.5,16,0.0,equal,Up,0,0.0,20.5
