,Open,High,Low,Close,Volume,Forcast,Forcast_Direction,Real_Direction,Result,diff_right,diff_wrong
2023-05-03,22.690000534057607,23.51000022888184,22.690000534057607,23.489999771118164,79600,0.0,null,null,null,0.0,0.0
2023-05-04,23.1200008392334,23.479999542236328,23.1200008392334,23.46999931335449,30400,0.0,equal,Up,0,0.0,0.31000137329102273
2023-05-05,23.15999984741211,23.78000068664551,23.15999984741211,23.78000068664551,35300,0.0,equal,Down,0,0.0,0.19000053405762074
2023-05-08,23.790000915527344,23.790000915527344,23.540000915527344,23.59000015258789,29000,0.0,equal,Down,0,0.0,0.43000030517578125
2023-05-09,23.170000076293945,23.209999084472656,23.01000022888184,23.15999984741211,66600,0.0,equal,Up,0,0.0,0.049999237060546875
2023-05-10,22.959999084472656,23.270000457763672,22.88999938964844,23.209999084472656,43900,0.0,equal,Down,0,0.0,0.25
2023-05-11,22.920000076293945,23.03000068664551,22.899999618530273,22.959999084472656,33700,0.0,equal,Down,0,0.0,0.2199993133544922
2023-05-12,22.8799991607666,23.239999771118164,22.34000015258789,22.739999771118164,71300,0.0,equal,Up,0,0.0,0.3299999237060547
2023-05-15,22.96999931335449,23.06999969482422,22.899999618530273,23.06999969482422,45400,0.0,equal,Down,0,0.0,0.4599990844726598
2023-05-16,23.0,23.0,22.440000534057614,22.61000061035156,60900,0.0,equal,Down,0,0.0,0.4099998474121058
2023-05-17,22.36000061035156,22.440000534057614,22.06999969482422,22.200000762939453,75000,0.0,equal,Up,0,0.0,0.029998779296875
2023-05-18,21.989999771118164,22.31999969482422,21.899999618530273,22.229999542236328,44100,0.0,equal,Up,0,0.0,0.04000091552734375
2023-05-19,22.51000022888184,22.649999618530273,22.21999931335449,22.270000457763672,74800,0.0,equal,Up,0,0.0,0.3599987030029297
2023-05-22,22.290000915527344,22.70000076293945,22.290000915527344,22.6299991607666,58900,0.0,equal,Up,0,0.0,0.37000083923339844
2023-05-23,22.81999969482422,23.040000915527344,22.709999084472656,23.0,71500,0.0,equal,Up,0,0.0,0.030000686645511365
2023-05-24,23.020000457763672,23.29999923706055,22.86000061035156,23.03000068664551,45200,0.0,equal,Down,0,0.0,0.1500015258789098
2023-05-25,22.989999771118164,23.10000038146973,22.78000068664551,22.8799991607666,40400,0.0,equal,Up,0,0.0,0.7400016784667969
2023-05-26,23.35000038146973,23.63999938964844,23.26000022888184,23.6200008392334,78300,0.0,equal,Down,0,0.0,0.42000007629394887
2023-05-30,23.57999992370605,23.57999992370605,22.90999984741211,23.20000076293945,70900,0.0,equal,Down,0,0.0,0.10000038146971946
2023-05-31,22.71999931335449,23.13999938964844,22.70000076293945,23.10000038146973,66800,0.0,equal,Up,0,0.0,0.38999938964843395
2023-06-01,23.399999618530273,23.709999084472656,23.3700008392334,23.489999771118164,136000,0.0,equal,Up,0,0.0,0.3400001525878871
2023-06-02,23.29999923706055,23.86000061035156,23.170000076293945,23.82999992370605,64600,0.0,equal,Down,0,0.0,0.1800003051757777
2023-06-05,23.82999992370605,24.0,23.540000915527344,23.649999618530273,36900,0.0,equal,Up,0,0.0,0.07999992370605469
2023-06-06,23.75,23.8700008392334,23.479999542236328,23.729999542236328,54300,0.0,equal,Down,0,0.0,0.45999908447265625
2023-06-07,23.559999465942386,23.559999465942386,23.209999084472656,23.270000457763672,60400,0.0,equal,Up,0,0.0,0.2600002288818395
2023-06-08,23.1200008392334,23.540000915527344,23.07999992370605,23.53000068664551,60400,0.0,equal,Down,0,0.0,0.15999984741211293
2023-06-09,23.399999618530273,23.5,23.1200008392334,23.3700008392334,47100,0.0,equal,Up,0,0.0,0.679998397827152
2023-06-12,23.709999084472656,24.07999992370605,23.709999084472656,24.04999923706055,75700,0.0,equal,Up,0,0.0,0.12000083923339488
2023-06-13,24.3799991607666,24.489999771118164,24.1200008392334,24.170000076293945,102000,0.0,equal,Up,0,0.0,0.020000457763661217
2023-06-14,23.920000076293945,24.25,23.81999969482422,24.190000534057607,48700,0.0,equal,Up,0,0.0,0.8699989318847798
2023-06-15,24.56999969482422,25.07999992370605,24.56999969482422,25.059999465942386,154700,0.0,equal,Up,0,0.0,0.8900012969970632
2023-06-16,25.520000457763672,25.959999084472656,25.32999992370605,25.95000076293945,172400,0.0,equal,Up,0,0.0,0.019998550415039062
2023-06-20,25.940000534057607,26.059999465942386,25.65999984741211,25.96999931335449,130400,0.0,equal,Up,0,0.0,1.230001449584961
2023-06-21,26.420000076293945,27.209999084472656,26.420000076293945,27.20000076293945,212900,0.0,equal,Down,0,0.0,0.3900012969970632
2023-06-22,26.75,27.03000068664551,26.61000061035156,26.809999465942386,237700,0.0,equal,Down,0,0.0,1.3199996948242223
2023-06-23,25.95000076293945,26.190000534057607,25.420000076293945,25.489999771118164,252600,0.0,equal,Up,0,0.0,0.13000106811523438
2023-06-26,25.540000915527344,26.04999923706055,25.28000068664551,25.6200008392334,102200,0.0,equal,Down,0,0.0,1.0799999237060547
2023-06-27,24.75,24.84000015258789,24.32999992370605,24.540000915527344,179500,0.0,equal,Down,0,0.0,0.8000011444091797
2023-06-28,24.06999969482422,24.29999923706055,23.70000076293945,23.739999771118164,145200,0.0,equal,Down,0,0.0,0.3299999237060547
2023-06-29,23.71999931335449,23.85000038146973,23.34000015258789,23.40999984741211,122500,0.0,equal,Down,0,0.0,1.2199993133544957
2023-06-30,23.53000068664551,23.71999931335449,22.13999938964844,22.190000534057614,249400,0.0,equal,Up,0,0.0,0.2099990844726598
2023-07-03,22.63999938964844,22.649999618530273,22.21999931335449,22.399999618530273,84700,0.0,equal,Down,0,0.0,0.23999977111816406
2023-07-05,22.5,22.51000022888184,21.920000076293945,22.15999984741211,223200,0.0,equal,Up,0,0.0,0.5900001525878906
2023-07-06,22.309999465942386,22.76000022888184,22.309999465942386,22.75,128700,0.0,equal,Down,0,0.0,0.39999961853027344
2023-07-07,22.61000061035156,22.61000061035156,22.200000762939453,22.350000381469727,268800,0.0,equal,Up,0,0.0,0.10999870300292969
2023-07-10,22.450000762939453,22.56999969482422,22.350000381469727,22.459999084472656,60500,0.0,equal,Up,0,0.0,0.09000015258789418
2023-07-11,22.6299991607666,22.65999984741211,22.459999084472656,22.54999923706055,58600,0.0,equal,Down,0,0.0,0.7199993133544993
2023-07-12,22.6200008392334,22.670000076293945,21.739999771118164,21.82999992370605,195200,0.0,equal,Up,0,0.0,0.7999992370605504
2023-07-13,21.959999084472656,22.6299991607666,21.959999084472656,22.6299991607666,325000,0.0,equal,Up,0,0.0,0.5300006866455078
2023-07-14,22.90999984741211,23.170000076293945,22.60000038146973,23.15999984741211,172700,0.0,equal,Down,0,0.0,0.36000061035155895
2023-07-17,23.28000068664551,23.28000068664551,22.71999931335449,22.79999923706055,79800,0.0,equal,Up,0,0.0,1.0400009155273402
2023-07-18,23.149999618530273,24.1200008392334,23.06999969482422,23.84000015258789,210400,0.0,equal,Up,0,0.0,0.75
2023-07-19,24.790000915527344,24.979999542236328,24.10000038146973,24.59000015258789,211300,0.0,equal,Down,0,0.0,0.2399997711181605
2023-07-20,24.75,24.81999969482422,24.190000534057607,24.35000038146973,84000,0.0,equal,Down,0,0.0,0.39000129699707387
2023-07-21,23.770000457763672,24.31999969482422,23.709999084472656,23.959999084472656,129000,0.0,equal,Up,0,0.0,1.210000991821289
2023-07-24,24.729999542236328,25.26000022888184,24.5,25.170000076293945,165600,0.0,equal,Down,0,0.0,0.1700000762939453
2023-07-25,24.770000457763672,25.1299991607666,24.770000457763672,25.0,86700,0.0,equal,Down,0,0.0,0.610000610351559
2023-07-26,24.81999969482422,24.84000015258789,24.20000076293945,24.38999938964844,197900,0.0,equal,Down,0,0.0,0.15999984741211293
2023-07-27,24.29999923706055,24.75,24.149999618530273,24.229999542236328,60300,0.0,equal,Down,0,0.0,0.44999885559081676
2023-07-28,23.86000061035156,24.36000061035156,23.63999938964844,23.78000068664551,125500,0.0,equal,Down,0,0.0,0.6900005340576207
2023-07-31,23.270000457763672,23.290000915527344,22.95000076293945,23.09000015258789,130200,0.0,equal,Down,0,0.0,0.15999984741210938
2023-08-01,23.059999465942386,23.190000534057607,22.86000061035156,22.93000030517578,262500,0.0,equal,Down,0,0.0,0.26000022888183594
2023-08-02,23.03000068664551,23.03000068664551,22.54999923706055,22.670000076293945,72300,0.0,equal,Down,0,0.0,0.18000030517578125
