,Open,High,Low,Close,Volume,Forcast
2023-08-07T00:00:00,82.62,82.91,81.26,82.12,21014,65.661255
2023-08-08T00:00:00,82.11,82.71,79.67,82.37,28342,65.61695
2023-08-09T00:00:00,82.38,84.15,82.3,83.76,25344,65.629295
2023-08-10T00:00:00,83.75,84.39,82.22,82.5,25567,65.6668
2023-08-11T00:00:00,82.49,83.33,81.87,82.6,25577,65.725914
2023-08-13T00:00:00,82.45,82.47,82.24,82.39,403,65.81261
2023-08-14T00:00:00,82.4,82.64,81.29,81.9,27486,65.850044
2023-08-15T00:00:00,81.91,82.42,80.03,80.64,30354,65.837845
2023-08-16T00:00:00,80.65,81.01,78.73,78.81,30761,65.82303
2023-08-17T00:00:00,78.8,80.64,78.64,79.62,25376,65.83288
2023-08-18T00:00:00,79.63,80.99,79.06,80.75,28788,65.88794
2023-08-20T00:00:00,80.49,80.66,80.48,80.58,544,65.97008
2023-08-21T00:00:00,80.57,81.72,79.95,80.09,27891,65.99532
2023-08-22T00:00:00,80.08,80.35,79.44,79.61,21257,66.00549
2023-08-23T00:00:00,79.62,79.87,77.59,78.59,25113,65.98698
2023-08-24T00:00:00,78.56,79.23,77.55,78.86,26167,65.997345
2023-08-25T00:00:00,78.85,80.36,78.1,79.97,30300,66.04547
2023-08-27T00:00:00,80.185,80.304,80.046,80.084,770,66.13366
2023-08-28T00:00:00,80.094,80.737,79.5,79.927,44647,66.170784
2023-08-29T00:00:00,79.928,81.298,79.226,81.2,44596,66.21247
2023-08-30T00:00:00,81.205,81.861,80.718,81.435,46855,66.29554
2023-08-31T00:00:00,81.443,83.42,81.296,83.331,45401,66.39528
2023-09-01T00:00:00,83.333,85.655,83.267,85.646,49852,66.44336
2023-09-03T00:00:00,85.353,85.588,85.318,85.426,858,66.50761
2023-09-04T00:00:00,85.428,85.716,84.865,85.39,26265,66.47803
2023-09-05T00:00:00,85.398,87.584,84.615,86.433,57754,66.43827
2023-09-06T00:00:00,86.428,87.594,85.567,87.221,51191,66.453865
2023-09-07T00:00:00,87.228,87.288,85.929,86.257,49929,66.46455
2023-09-08T00:00:00,86.263,87.446,85.726,86.782,49516,66.48202
2023-09-10T00:00:00,86.63,86.656,86.465,86.515,1382,66.6085
2023-09-11T00:00:00,86.52,87.646,86.264,86.791,54439,66.661606
2023-09-12T00:00:00,86.801,88.768,86.72,88.256,50671,66.72172
2023-09-13T00:00:00,88.261,89.039,87.759,88.155,52724,66.807755
2023-09-14T00:00:00,88.154,90.263,88.135,90.005,51035,66.9051
2023-09-15T00:00:00,90.001,90.617,88.698,90.48,54924,67.03357
2023-09-17T00:00:00,90.294,90.318,90.058,90.182,730,67.30908
2023-09-18T00:00:00,90.177,91.361,89.897,91.053,34944,67.47929
2023-09-19T00:00:00,91.048,92.372,90.272,90.628,39850,67.654396
2023-09-20T00:00:00,90.633,90.962,88.893,89.096,48247,67.81222
2023-09-21T00:00:00,89.095,90.839,88.262,89.579,51261,67.92155
2023-09-22T00:00:00,89.575,91.099,89.115,90.105,54062,68.01445
2023-09-24T00:00:00,89.889,90.28,89.879,90.266,1017,68.22021
2023-09-25T00:00:00,90.257,90.437,88.677,89.344,53155,68.35624
2023-09-26T00:00:00,89.349,90.282,87.829,90.122,54506,68.48925
2023-09-27T00:00:00,90.126,93.425,90.118,93.116,70881,68.65027
2023-09-28T00:00:00,93.109,94.239,90.697,91.019,74581,68.76917
2023-09-29T00:00:00,91.021,92.321,89.662,90.005,69595,68.84208
2023-10-01T00:00:00,90.154,90.332,90.058,90.227,1318,68.95809
2023-10-02T00:00:00,90.222,90.972,87.601,87.774,62824,68.8891
2023-10-03T00:00:00,87.788,89.259,87.004,88.463,69355,68.77263
2023-10-04T00:00:00,88.468,88.658,83.272,83.407,74673,68.60877
2023-10-05T00:00:00,83.412,83.978,81.315,81.977,83030,68.390495
2023-10-06T00:00:00,81.982,82.304,80.733,81.816,77595,68.161736
2023-10-08T00:00:00,83.704,85.332,83.605,84.593,6949,68.01977
2023-10-09T00:00:00,84.599,86.095,83.715,85.158,83051,67.92535
2023-10-10T00:00:00,85.143,85.439,83.854,84.647,71361,67.89952
2023-10-11T00:00:00,84.649,85.159,81.986,82.075,74215,67.864586
2023-10-12T00:00:00,82.065,84.048,81.507,82.513,70953,67.79189
2023-10-13T00:00:00,82.518,86.719,82.414,86.587,68530,67.74623
2023-10-15T00:00:00,86.218,86.777,86.123,86.381,2393,67.76023
2023-10-16T00:00:00,86.395,87.043,85.094,85.527,61377,67.773834
2023-10-17T00:00:00,85.532,87.04,84.428,87.026,56505,67.82635
2023-10-18T00:00:00,87.015,88.575,86.253,87.098,54001,67.90398
2023-10-19T00:00:00,87.093,89.476,85.434,89.122,50477,67.960075
2023-10-20T00:00:00,89.117,89.757,87.453,88.259,51747,67.97519
2023-10-22T00:00:00,87.814,87.822,87.425,87.554,1424,68.04267
2023-10-23T00:00:00,87.548,88.031,85.167,85.924,60209,68.058846
2023-10-24T00:00:00,85.92,86.06,82.789,83.509,61312,68.06478
2023-10-25T00:00:00,83.508,85.373,81.935,85.014,65962,68.06272
2023-10-26T00:00:00,85.018,85.389,82.399,83.46,71290,68.032684
2023-10-27T00:00:00,83.458,85.607,82.883,84.919,74219,67.967094
2023-10-29T00:00:00,84.426,84.512,83.451,84.243,2916,67.895454
2023-10-30T00:00:00,84.247,84.668,81.549,82.361,71216,67.880455
2023-10-31T00:00:00,82.364,83.089,80.516,81.117,66013,67.88016
2023-11-01T00:00:00,81.106,83.116,80.126,80.716,62019,67.789276
2023-11-02T00:00:00,80.714,82.604,80.107,82.354,59102,67.687904
2023-11-03T00:00:00,82.349,83.376,79.949,80.671,68430,67.587395
2023-11-05T00:00:00,80.534,80.86,80.527,80.836,906,67.49739
2023-11-06T00:00:00,80.852,82.008,80.594,80.736,55775,67.36916
2023-11-07T00:00:00,80.741,80.762,76.935,76.988,60683,67.21001
2023-11-08T00:00:00,76.983,77.446,74.905,75.513,75340,67.014824
2023-11-09T00:00:00,75.509,77.094,75.176,75.538,63260,66.83815
2023-11-10T00:00:00,75.539,77.702,75.333,77.334,53894,66.69908
2023-11-12T00:00:00,76.856,77.061,76.852,76.878,696,66.60695
2023-11-13T00:00:00,76.897,78.54,76.187,78.446,45055,66.467476
2023-11-14T00:00:00,78.441,79.649,77.745,78.05,46816,66.408134
2023-11-15T00:00:00,78.045,78.674,76.435,76.475,46401,66.34785
2023-11-16T00:00:00,76.485,76.777,72.358,73.195,42175,66.21393
2023-11-17T00:00:00,73.285,76.162,72.9,76.061,39852,66.0858
2023-11-19T00:00:00,75.875,76.265,75.875,76.244,888,66.02202
2023-11-20T00:00:00,76.234,78.443,75.913,77.599,42198,65.894394
2023-11-21T00:00:00,77.598,77.916,76.926,77.676,47976,65.82029
2023-11-22T00:00:00,77.675,77.972,73.808,76.698,68247,65.773384
2023-11-23T00:00:00,76.699,76.819,75.318,76.356,37368,65.73982
2023-11-24T00:00:00,76.355,77.11,75.123,75.233,39288,65.70715
2023-11-26T00:00:00,75.566,75.78,75.559,75.766,849,65.69993
2023-11-27T00:00:00,75.754,76.268,74.135,75.261,58985,65.561844
2023-11-28T00:00:00,75.267,77.04,74.717,76.689,50085,65.454605
2023-11-29T00:00:00,76.688,78.106,75.751,77.715,58275,65.39497
2023-11-30T00:00:00,77.713,79.602,75.091,75.683,86706,65.426125
2023-12-01T00:00:00,75.681,76.758,74.015,74.464,66014,65.32976
2023-12-03T00:00:00,74.63,75.103,74.443,74.896,1415,65.26195
2023-12-04T00:00:00,74.908,74.921,72.747,73.398,69670,64.97128
2023-12-05T00:00:00,73.385,74.228,72.152,72.244,69695,64.66639
2023-12-06T00:00:00,72.237,72.722,69.263,69.639,61370,64.39447
2023-12-07T00:00:00,69.636,70.605,68.968,69.927,60518,64.19484
2023-12-08T00:00:00,69.944,71.732,69.648,71.38,58503,64.090515
2023-12-10T00:00:00,71.237,71.401,71.165,71.388,625,64.080086
2023-12-11T00:00:00,71.391,71.957,70.531,71.578,47907,63.85805
2023-12-12T00:00:00,71.584,72.132,68.432,68.899,53349,63.60087
2023-12-13T00:00:00,68.893,70.159,67.923,70.128,58888,63.404198
2023-12-14T00:00:00,70.118,72.683,69.768,71.834,50181,63.328667
2023-12-15T00:00:00,71.834,72.495,70.591,72.071,47492,63.347054
2023-12-17T00:00:00,72.324,72.489,72.264,72.484,357,63.46488
2023-12-18T00:00:00,72.479,74.596,70.964,72.77,40643,63.38974
2023-12-19T00:00:00,72.76,74.426,72.153,74.118,34093,63.328312
2023-12-20T00:00:00,74.107,75.369,73.514,73.623,37707,63.33227
2023-12-21T00:00:00,73.623,74.584,72.496,73.836,49414,63.38268
2023-12-22T00:00:00,73.836,74.974,73.388,73.447,43422,63.450047
2023-12-25T00:00:00,73.91,73.941,73.751,73.799,413,63.475533
2023-12-26T00:00:00,73.8,76.191,73.169,75.275,41993,63.54543
2023-12-27T00:00:00,75.284,75.679,73.813,74.081,50212,63.61643
2023-12-28T00:00:00,74.082,74.44,71.768,72.079,51843,63.647144
2023-12-29T00:00:00,72.08,72.656,71.306,71.397,46909,63.643814
2024-01-01T00:00:00,72.104,72.206,71.926,72.024,609,63.346935
2024-01-02T00:00:00,72.027,73.691,70.159,70.563,71934,63.151497
2024-01-03T00:00:00,70.577,73.276,69.39,73.098,63639,63.071228
2024-01-04T00:00:00,73.096,74.043,71.148,72.348,64714,63.005516
2024-01-05T00:00:00,72.34,74.251,72.26,73.958,59416,63.014072
2024-01-07T00:00:00,73.679,73.954,73.654,73.782,638,63.062206
2024-01-08T00:00:00,73.779,73.857,70.187,70.832,61913,62.88676
2024-01-09T00:00:00,70.822,72.945,70.557,72.173,58273,62.75223
2024-01-10T00:00:00,72.183,73.54,71.047,71.287,61768,62.72345
2024-01-11T00:00:00,71.291,73.787,71.201,73.415,69033,62.720425
2024-01-12T00:00:00,73.425,75.255,72.457,72.861,74639,62.79228
2024-01-14T00:00:00,72.283,72.647,72.267,72.641,975,62.84539
2024-01-15T00:00:00,72.645,73.049,71.36,72.751,40772,62.754776
2024-01-16T00:00:00,72.759,73.647,71.822,71.995,70291,62.70169
2024-01-17T00:00:00,72.0,72.851,70.6,72.818,64113,62.71956
2024-01-18T00:00:00,72.809,74.197,72.134,73.82,47833,62.78472
2024-01-19T00:00:00,73.835,74.629,72.998,73.441,41041,62.857716
2024-01-21T00:00:00,73.18,73.34,73.1,73.15,482,62.92094
2024-01-22T00:00:00,73.16,75.435,72.549,74.617,35523,62.95296
2024-01-23T00:00:00,74.616,75.221,73.396,74.432,38201,63.068195
2024-01-24T00:00:00,74.442,75.807,73.921,75.388,42393,63.183434
2024-01-25T00:00:00,75.398,77.458,75.137,77.068,40513,63.344784
2024-01-26T00:00:00,77.077,78.211,76.026,78.132,50643,63.549072
2024-01-28T00:00:00,79.04,79.074,78.704,78.815,1609,63.77832
2024-01-29T00:00:00,78.823,78.858,76.379,76.966,58024,64.04145
2024-01-30T00:00:00,76.964,78.061,75.798,77.72,53323,64.233925
2024-01-31T00:00:00,77.721,78.016,75.475,75.808,67211,64.4023
2024-02-01T00:00:00,75.817,76.86,73.679,74.227,81375,64.404724
2024-02-02T00:00:00,74.219,74.476,71.806,72.358,70070,64.30641
2024-02-04T00:00:00,72.779,72.927,72.759,72.777,813,64.23759
2024-02-05T00:00:00,72.767,73.275,71.435,72.679,58986,64.09353
2024-02-06T00:00:00,72.691,73.82,72.418,73.427,54196,63.93577
2024-02-07T00:00:00,73.429,74.213,73.241,73.998,49276,63.86731
2024-02-08T00:00:00,73.995,76.505,73.604,76.371,45168,63.895405
2024-02-09T00:00:00,76.367,77.186,75.885,76.534,45843,63.99451
2024-02-11T00:00:00,76.158,76.461,76.141,76.391,678,64.09718
2024-02-12T00:00:00,76.387,77.003,75.497,76.888,43950,64.15432
2024-02-13T00:00:00,76.882,78.162,76.798,77.473,48781,64.170746
2024-02-14T00:00:00,77.469,78.479,76.148,76.278,51981,64.202034
2024-02-15T00:00:00,76.282,78.104,75.545,77.689,41917,64.2572
2024-02-16T00:00:00,77.685,78.579,76.739,78.278,37700,64.34162
2024-02-18T00:00:00,78.015,78.166,78.005,78.141,301,64.44756
2024-02-19T00:00:00,78.171,78.553,77.642,78.08,16428,64.55493
2024-02-20T00:00:00,78.08,78.524,76.791,77.206,33634,64.60261
2024-02-21T00:00:00,77.215,78.039,76.292,78.029,36186,64.656944
2024-02-22T00:00:00,78.029,78.829,77.156,78.174,34496,64.74371
