,Open,High,Low,Close,Volume,Forcast
2024-11-13,30.688,31.134,30.21,30.255,96904,27.279646
2024-11-14,30.257,30.647,29.666,30.358,108034,27.21164
2024-11-15,30.357,30.809,30.172,30.24,96014,27.249218
2024-11-17,30.295,30.4,30.248,30.389,1998,27.354664
2024-11-18,30.382,31.262,30.357,31.153,80253,27.437437
2024-11-19,31.154,31.529,31.037,31.281,86979,27.237171
2024-11-20,31.28,31.327,30.767,30.908,72991,27.051622
2024-11-21,30.909,31.302,30.635,30.742,82827,26.94397
2024-11-22,30.743,31.4,30.74,31.328,88487,26.913317
2024-11-24,31.202,31.465,31.202,31.395,2920,26.940924
2024-11-25,31.388,31.404,29.969,30.096,104317,27.044584
2024-11-26,30.098,30.687,30.033,30.405,77362,26.884586
2024-11-27,30.409,30.696,29.967,30.101,66350,26.747972
2024-11-28,30.107,30.287,29.628,30.237,46873,26.656757
2024-11-29,30.229,30.888,30.19,30.609,60869,26.613869
2024-12-01,30.577,30.583,30.405,30.459,2458,26.616955
2024-12-02,30.46,30.67,30.047,30.59,74219,26.56572
2024-12-03,30.591,31.078,30.448,30.984,73608,26.264853
2024-12-04,30.977,31.466,30.449,31.316,80103,26.076128
2024-12-05,31.317,31.412,31.004,31.346,72905,25.984669
2024-12-06,31.347,31.429,30.818,30.955,82515,26.012333
2024-12-08,31.027,31.108,30.933,31.067,2908,26.14775
2024-12-09,31.066,32.271,30.858,31.896,92068,26.192142
2024-12-10,31.898,32.088,31.698,31.895,79800,25.948301
2024-12-11,31.896,32.181,31.439,31.901,93260,25.763754
2024-12-12,31.899,32.321,30.869,30.888,96102,25.662615
2024-12-13,30.887,31.098,30.281,30.542,76973,25.64154
2024-12-15,30.54,30.617,30.516,30.576,1203,25.712868
2024-12-16,30.578,30.746,30.455,30.514,47268,25.719763
2024-12-17,30.515,30.601,30.143,30.506,57416,25.434175
2024-12-18,30.505,30.57,29.245,29.315,62850,25.171207
2024-12-19,29.316,29.704,28.74,29.014,69969,24.975733
2024-12-20,29.019,29.69,28.798,29.497,62691,24.869654
2024-12-22,29.542,29.713,29.538,29.685,1555,24.842047
2024-12-23,29.689,29.866,29.408,29.679,55404,24.823143
2024-12-24,29.68,29.784,29.46,29.603,32804,24.570799
2024-12-25,29.634,29.699,29.625,29.663,1016,24.34966
2024-12-26,29.66,29.86,29.493,29.786,51400,24.221897
2024-12-27,29.787,29.875,29.317,29.362,56321,24.172115
2024-12-29,29.361,29.466,29.36,29.44,1047,24.217829
2024-12-30,29.447,29.515,28.783,28.929,53939,24.377277
2024-12-31,28.93,29.022,28.769,28.891,48071,24.232159
2025-01-01,28.889,28.986,28.866,28.982,905,23.992393
2025-01-02,28.983,29.592,28.953,29.535,61501,24.026722
2025-01-03,29.534,29.893,29.483,29.592,55155,24.294847
2025-01-05,29.652,29.674,29.622,29.628,951,24.77398
2025-01-06,29.631,30.336,29.391,29.925,75442,25.180544
