,Open,High,Low,Close,Volume,Forcast,Forcast_Direction,Real_Direction,Result,diff_right,diff_wrong
2024-11-13,30.688,31.134,30.21,30.255,96904,13.629216,null,null,null,0.0,0.0
2024-11-14,30.257,30.647,29.666,30.358,108034,13.63528,Up,Down,0,0.0,0.1180000000000021
2024-11-15,30.357,30.809,30.172,30.24,96014,13.642571,Up,Up,1,0.1490000000000009,0.0
2024-11-17,30.295,30.4,30.248,30.389,1998,13.653972,Up,Up,1,0.7639999999999993,0.0
2024-11-18,30.382,31.262,30.357,31.153,80253,13.638298,Down,Up,0,0.0,0.1280000000000001
2024-11-19,31.154,31.529,31.037,31.281,86979,13.636498,Down,Down,1,0.37299999999999756,0.0
2024-11-20,31.28,31.327,30.767,30.908,72991,13.639863,Up,Down,0,0.0,0.16600000000000037
2024-11-21,30.909,31.302,30.635,30.742,82827,13.64628,Up,Up,1,0.5859999999999985,0.0
2024-11-22,30.743,31.4,30.74,31.328,88487,13.65382,Up,Up,1,0.06700000000000017,0.0
2024-11-24,31.202,31.465,31.202,31.395,2920,13.664897,Up,Down,0,0.0,1.2989999999999995
2024-11-25,31.388,31.404,29.969,30.096,104317,13.650526,Down,Up,0,0.0,0.30900000000000105
2024-11-26,30.098,30.687,30.033,30.405,77362,13.64971,Down,Down,1,0.30400000000000205,0.0
2024-11-27,30.409,30.696,29.967,30.101,66350,13.65274,Up,Up,1,0.13599999999999923,0.0
2024-11-28,30.107,30.287,29.628,30.237,46873,13.65802,Up,Up,1,0.37200000000000344,0.0
2024-11-29,30.229,30.888,30.19,30.609,60869,13.662238,Up,Down,0,0.0,0.15000000000000213
2024-12-01,30.577,30.583,30.405,30.459,2458,13.675431,Up,Up,1,0.13100000000000023,0.0
2024-12-02,30.46,30.67,30.047,30.59,74219,13.6598425,Down,Up,0,0.0,0.3940000000000019
2024-12-03,30.591,31.078,30.448,30.984,73608,13.656211,Down,Up,0,0.0,0.3319999999999972
2024-12-04,30.977,31.466,30.449,31.316,80103,13.656604,Up,Up,1,0.030000000000001137,0.0
2024-12-05,31.317,31.412,31.004,31.346,72905,13.657532,Up,Down,0,0.0,0.3910000000000018
2024-12-06,31.347,31.429,30.818,30.955,82515,13.659248,Up,Up,1,0.11200000000000188,0.0
2024-12-08,31.027,31.108,30.933,31.067,2908,13.661477,Up,Up,1,0.8290000000000006,0.0
2024-12-09,31.066,32.271,30.858,31.896,92068,13.64118,Down,Down,1,0.0010000000000012221,0.0
2024-12-10,31.898,32.088,31.698,31.895,79800,13.634997,Down,Up,0,0.0,0.006000000000000227
2024-12-11,31.896,32.181,31.439,31.901,93260,13.633866,Down,Down,1,1.0129999999999981,0.0
2024-12-12,31.899,32.321,30.869,30.888,96102,13.636575,Up,Down,0,0.0,0.3460000000000001
2024-12-13,30.887,31.098,30.281,30.542,76973,13.641226,Up,Up,1,0.03399999999999892,0.0
2024-12-15,30.54,30.617,30.516,30.576,1203,13.648309,Up,Down,0,0.0,0.062000000000001165
2024-12-16,30.578,30.746,30.455,30.514,47268,13.631527,Down,Down,1,0.007999999999999119,0.0
2024-12-17,30.515,30.601,30.143,30.506,57416,13.6283,Down,Down,1,1.190999999999999,0.0
2024-12-18,30.505,30.57,29.245,29.315,62850,13.630415,Up,Down,0,0.0,0.30100000000000193
2024-12-19,29.316,29.704,28.74,29.014,69969,13.635967,Up,Up,1,0.48300000000000054,0.0
2024-12-20,29.019,29.69,28.798,29.497,62691,13.642615,Up,Up,1,0.18799999999999883,0.0
2024-12-22,29.542,29.713,29.538,29.685,1555,13.65235,Up,Down,0,0.0,0.006000000000000227
2024-12-23,29.689,29.866,29.408,29.679,55404,13.637136,Down,Down,1,0.07599999999999696,0.0
2024-12-24,29.68,29.784,29.46,29.603,32804,13.63433,Down,Up,0,0.0,0.05999999999999872
2024-12-25,29.634,29.699,29.625,29.663,1016,13.63549,Up,Up,1,0.12300000000000111,0.0
2024-12-26,29.66,29.86,29.493,29.786,51400,13.639507,Up,Down,0,0.0,0.42400000000000304
2024-12-27,29.787,29.875,29.317,29.362,56321,13.645398,Up,Up,1,0.07800000000000296,0.0
2024-12-29,29.361,29.466,29.36,29.44,1047,13.655257,Up,Down,0,0.0,0.5110000000000028
2024-12-30,29.447,29.515,28.783,28.929,53939,13.640219,Down,Down,1,0.038000000000000256,0.0
2024-12-31,28.93,29.022,28.769,28.891,48071,13.637048,Down,Up,0,0.0,0.09100000000000108
2025-01-01,28.889,28.986,28.866,28.982,905,13.633632,Down,Up,0,0.0,0.5530000000000008
2025-01-02,28.983,29.592,28.953,29.535,61501,13.632226,Down,Up,0,0.0,0.05699999999999861
2025-01-03,29.534,29.893,29.483,29.592,55155,13.633479,Up,Up,1,0.036000000000001364,0.0
2025-01-05,29.652,29.674,29.622,29.628,951,13.639653,Up,Up,1,0.2970000000000006,0.0
2025-01-06,29.631,30.336,29.391,29.925,75442,13.620107,Down,Up,0,0.0,0.1609999999999978
2025-01-07,29.926,30.382,29.87,30.086,67417,13.609621,Down,Up,0,0.0,0.036000000000001364
2025-01-08,30.085,30.339,29.799,30.122,66883,13.604159,Down,Down,1,0.04400000000000048,0.0
2025-01-09,30.123,30.468,29.992,30.078,51101,13.603489,Down,Up,0,0.0,0.3200000000000003
2025-01-10,30.084,30.65,29.949,30.398,79798,13.603893,Up,Up,1,0.054999999999999716,0.0
2025-01-12,30.388,30.458,30.361,30.453,1693,13.607696,Up,Down,0,0.0,0.7829999999999977
2025-01-13,30.451,30.505,29.499,29.67,80684,13.589109,Down,Up,0,0.0,0.16899999999999693
2025-01-14,29.671,29.967,29.502,29.839,63204,13.579305,Down,Up,0,0.0,0.8290000000000006
2025-01-15,29.838,30.761,29.727,30.668,68325,13.573723,Down,Up,0,0.0,0.08500000000000085
2025-01-16,30.667,30.966,30.498,30.753,87685,13.572626,Down,Down,1,0.4299999999999997,0.0
2025-01-17,30.752,30.832,30.113,30.323,74101,13.575989,Up,Down,0,0.0,0.019000000000001904
2025-01-19,30.308,30.337,30.221,30.304,2177,13.58236,Up,Up,1,0.2630000000000017,0.0
2025-01-20,30.303,30.654,29.983,30.567,57599,13.567138,Down,Up,0,0.0,0.16100000000000136
2025-01-21,30.568,30.847,30.178,30.728,77577,13.56154,Down,Up,0,0.0,0.03399999999999892
2025-01-22,30.726,30.947,30.551,30.762,65060,13.561212,Down,Down,1,0.30700000000000216,0.0
2025-01-23,30.761,30.853,30.07,30.455,67878,13.565261,Up,Up,1,0.1180000000000021,0.0
2025-01-24,30.456,31.012,30.428,30.573,70449,13.570704,Up,Down,0,0.0,0.05600000000000094
2025-01-26,30.301,30.607,30.301,30.517,2756,13.577731,Up,Down,0,0.0,0.347999999999999
2025-01-27,30.519,30.607,29.693,30.169,82139,13.564499,Down,Up,0,0.0,0.22799999999999798
2025-01-28,30.164,30.478,29.868,30.397,58625,13.559388,Down,Up,0,0.0,0.4620000000000033
2025-01-29,30.395,30.977,30.269,30.859,76738,13.557995,Down,Up,0,0.0,0.7739999999999974
2025-01-30,30.858,31.73,30.793,31.633,80630,13.559435,Up,Down,0,0.0,0.3569999999999993
2025-01-31,31.632,31.705,31.135,31.276,87536,13.562972,Up,Down,0,0.0,0.2779999999999987
2025-02-02,31.347,31.482,30.662,30.998,7668,13.5849285,Up,Up,1,0.49299999999999855,0.0
2025-02-03,31.001,31.666,30.659,31.491,110247,13.578104,Down,Up,0,0.0,0.5790000000000006
2025-02-04,31.49,32.37,31.34,32.07,78004,13.575933,Down,Up,0,0.0,0.22800000000000153
2025-02-05,32.072,32.54,31.915,32.298,79982,13.576905,Up,Down,0,0.0,0.09000000000000341
